LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
fully cellular containership,353432,Baltic Shearwater,Live,Cyprus,6450,2005,"Feeder, 1'-2'TEU",15956,Single,5BSD4,16324,S-674,Meyer Werft GmbH (Dormant),Papenburg,169.0,157.88,—,27.2,12.8,9.0,3.8,MAN Diesel AS,B&W Diesel A/S,Bernhard Schulte Shipmanagement (Deutschland) GmbH & Company KG,Germany,—,1638,The Schulte Group,Germany,Bernhard Schulte Shipmanagement (Deutschland) GmbH & Company KG,Germany,Algos Enterprises Limited,Cyprus,Eastaway Ship Management Private Limited,Republic of Singapore,Sea Consortium Private Limited(X-Press Feeders),Republic of Singapore,—,—,Eastaway Ship Management Private Limited,Republic of Singapore,—,—,—,—,9313228,212906000,12815,17185,8S50MC-C
fully cellular containership,353522,YM Hawk,Live,"Taiwan, China",7615,2005,"Feeder, 1'-2'TEU",19104,Single,BLIF,15167,842,CSBC Corporation Taiwan,Kaohsiung,168.8,158.0,27.30,27.3,13.5,8.0,5.5,Mitsui Engineering & Shipbuilding Company Limited,B&W Diesel A/S,Yang Ming Marine Transport Corporation,"Taiwan, China",Keelung,1500,Yang Ming Marine Transport Corporation,"Taiwan, China",Yang Ming Marine Transport Corporation,"Taiwan, China",Yang Ming Marine Transport Corporation,"Taiwan, China",Yang Ming Marine Transport Corporation,"Taiwan, China",—,—,—,—,Yang Ming Marine Transport Corporation,"Taiwan, China",—,—,—,—,9299317,416429000,12650,17200,8S50MC-C
fully cellular containership,353523,YM Harmony,Live,"Taiwan, China",6667,2005,"Feeder, 1'-2'TEU",19104,Single,BLIG,15167,843,CSBC Corporation Taiwan,Kaohsiung,168.8,158.0,—,27.3,13.5,8.6,4.9,Mitsui Engineering & Shipbuilding Company Limited,B&W Diesel A/S,Yang Ming Marine Transport Corporation,"Taiwan, China",Keelung,1500,Yang Ming Marine Transport Corporation,"Taiwan, China",Yang Ming Marine Transport Corporation,"Taiwan, China",Yang Ming Marine Transport Corporation,"Taiwan, China",Yang Ming Marine Transport Corporation,"Taiwan, China",—,—,—,—,Yang Ming Marine Transport Corporation,"Taiwan, China",—,—,—,—,9299329,416427000,12650,17200,8S50MC-C
fully cellular containership,353524,YM Horizon,Live,"Taiwan, China",6667,2005,"Feeder, 1'-2'TEU",19104,Single,BLIH,15167,845,CSBC Corporation Taiwan,Kaohsiung,168.8,158.0,—,27.3,13.5,8.0,5.5,Mitsui Engineering & Shipbuilding Company Limited,B&W Diesel A/S,Yang Ming Marine Transport Corporation,"Taiwan, China",Keelung,1500,Yang Ming Marine Transport Corporation,"Taiwan, China",Yang Ming Marine Transport Corporation,"Taiwan, China",Yang Ming Marine Transport Corporation,"Taiwan, China",Yang Ming Marine Transport Corporation,"Taiwan, China",—,—,—,—,Yang Ming Marine Transport Corporation,"Taiwan, China",—,—,—,—,9301263,416428000,12650,17200,8S50MC-C
fully cellular containership,353525,YM Heights,Live,"Taiwan, China",6667,2005,"Feeder, 1'-2'TEU",19104,Single,BLII,15167,846,CSBC Corporation Taiwan,Kaohsiung,168.8,158.0,27.30,27.3,13.5,8.0,5.5,Mitsui Engineering & Shipbuilding Company Limited,B&W Diesel A/S,Yang Ming Marine Transport Corporation,"Taiwan, China",Keelung,1500,Yang Ming Marine Transport Corporation,"Taiwan, China",Yang Ming Marine Transport Corporation,"Taiwan, China",Yang Ming Marine Transport Corporation,"Taiwan, China",Yang Ming Marine Transport Corporation,"Taiwan, China",—,—,—,—,Yang Ming Marine Transport Corporation,"Taiwan, China",—,—,—,—,9301275,416426000,12650,17200,8S50MC-C
fully cellular containership,353589,Fesco Yanina,Live,Russia,4960,2005,"Small Feeder,  -1'TEU",13007,Single,UBOW6,9522,SB/449,Dae Sun Shipbuilding & Engineering Company Limited,Busan,142.71,133.5,22.60,22.6,11.2,8.21,3.02,STX Engine Company Limited,B&W Diesel A/S,Public Company 'TransFin-M' (PAO 'TransFin-M'),Russian Federation,—,962,Unknown Owners,—,Public Company 'TransFin-M' (PAO 'TransFin-M'),Russian Federation,Public Company 'TransFin-M' (PAO 'TransFin-M'),Russian Federation,Far-Eastern Shipping Company Plc (FESCO) (Dalnevostochnoye Morskoye Parokhodstvo),Russian Federation,Far-Eastern Shipping Company Plc (FESCO) (Dalnevostochnoye Morskoye Parokhodstvo),Russian Federation,—,—,Far-Eastern Shipping Company Plc (FESCO) (Dalnevostochnoye Morskoye Parokhodstvo),Russian Federation,—,—,—,—,9301304,273298570,7969,10686,6S46MC-C
fully cellular containership,353590,Harbour Adventure,Live,Malaysia,4960,2005,"Small Feeder,  -1'TEU",13007,Single,9WVV9,9522,SB/450,Dae Sun Shipbuilding & Engineering Company Limited,Busan,142.71,133.5,22.60,22.6,11.2,8.21,3.02,STX Engine Company Limited,B&W Diesel A/S,Harbour-Link Marine Services Sendirian Berhad,Malaysia,Kuching,962,Harbour-Link Group Berhad,Malaysia,Harbour-Link Marine Services Sendirian Berhad,Malaysia,Harbour Adventure Sendirian Berhad,Malaysia,Harbour-Link Marine Services Sendirian Berhad,Malaysia,—,—,—,—,Harbour-Link Marine Services Sendirian Berhad,Malaysia,—,—,—,—,9301316,533170821,7969,10686,6S46MC-C
fully cellular containership,353600,Jifa,Dead,China,—,1951,Unknown size,,Single,—,1593,—,—,"",,,—,,,,,—,Unknown Engine Designer,—,—,—,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3539715,—,,,UNKNOWN
fully cellular containership,353613,Margarete Schulte,Live,Malta,12679,2007,"Feedermax, 2'-3'TEU",34457,Single,9HA2032,26671,S-1192,K Shipbuilding Company Limited,Jinhae,210.0,198.8,30.13,30.1,16.7,11.52,5.18,HMM Company Limited,B&W Diesel A/S,Bernhard Schulte GmbH & Company KG,Germany,Valletta,2602,The Schulte Group,Germany,Bernhard Schulte GmbH & Company KG,Germany,Host Wealth Limited,"Hong Kong, S.A.R., China",Bernhard Schulte Shipmanagement (India) Private Limited,India,Hanseatic Unity Chartering (HU) GmbH & Company KG,Germany,—,—,Bernhard Schulte Shipmanagement (India) Private Limited,India,—,—,—,—,9302944,249837000,25185,33774,8S70MC-C
fully cellular containership,353622,CMA CGM Beira,Live,Malta,12679,2006,"Feedermax, 2'-3'TEU",34448,Single,9HA2792,26671,1193,K Shipbuilding Company Limited,Jinhae,210.0,198.8,30.13,30.1,16.7,11.52,5.18,STX Engine Company Limited,B&W Diesel A/S,CMA CGM SA (The French Line),France,Valletta,2602,CMA CGM SA (The French Line),France,CMA CGM SA (The French Line),France,CMA CGM SA (The French Line),France,Bernhard Schulte Shipmanagement (Deutschland) GmbH & Company KG,Germany,—,—,—,—,Bernhard Schulte Shipmanagement (Deutschland) GmbH & Company KG,Germany,—,—,—,—,9302956,215891000,25185,33774,8S70MC-C
