LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
vehicle carrier,6537582,Figaro,Live,Sweden,26104,2011,50'+ gt,31143,Single,SMIO,74258,4459,Hanwha Ocean Company Limited,Okpo,231.60,219.30,—,32.26,14.30,11.30,3.00,HSD Sjo AS,B&W Diesel A/S,Wallenius Wilhelmsen Ocean Holding AS,Norway,Stockholm,—,Wilh Wilhelmsen ASA (WILSHIP),Norway,Wallenius Wilhelmsen Ocean Holding AS,Norway,Wall Ro/Ro AB,Sweden,Wallenius Marine AB,Sweden,—,—,—,—,Wallenius Marine AB,Sweden,—,—,—,—,9505041,266338000,12138,16502,7S60MC
vehicle carrier,6537584,ARC Endeavor,Live,U.S.A.,35099,2011,50'+ gt,28837,Single,WENP,72295,2261,HD Hyundai Heavy Industries Company Limited,Ulsan,229.99,217.10,32.30,32.26,14.30,11.32,2.98,—,B&W Diesel A/S,Wilmington Trust Company,United States of America,—,—,M&T Bank Corporation,United States of America,Wilmington Trust Company,United States of America,Wilmington Trust Company,United States of America,American Roll-On Roll-Off Carrier (ARC) LLC,United States of America,—,—,—,—,American Roll-On Roll-Off Carrier (ARC) LLC,United States of America,—,—,—,—,9505065,366663000,18080,24246,8S60ME-C
vehicle carrier,6537856,Titania,Live,Malta,26747,2012,50'+ gt,31108,Single,9HA2272,74255,4460,Hanwha Ocean Company Limited,Okpo,230.80,219.30,—,32.26,14.30,11.30,3.00,HSD Sjo AS,B&W Diesel A/S,Wallenius Wilhelmsen Ocean Holding AS,Norway,Valletta,—,Wilh Wilhelmsen ASA (WILSHIP),Norway,Wallenius Wilhelmsen Ocean Holding AS,Norway,Wilhelmsen Lines Shipowning Malta Limited,Malta,Wilhelmsen Ship Management Sendirian Berhad,Malaysia,—,—,—,—,Wilhelmsen Ship Management Sendirian Berhad,Malaysia,—,—,—,—,9505053,248225000,12138,16502,7S60MC
vehicle carrier,6537860,ARC Honor,Live,U.S.A.,35099,2012,50'+ gt,28818,Single,WAHI,72295,2263,HD Hyundai Heavy Industries Company Limited,Ulsan,229.99,217.10,32.30,32.25,14.30,11.30,3.00,—,B&W Diesel A/S,Wilmington Trust Company,United States of America,—,—,M&T Bank Corporation,United States of America,Wilmington Trust Company,United States of America,Wilmington Trust Company,United States of America,American Roll-On Roll-Off Carrier (ARC) LLC,United States of America,—,—,—,—,American Roll-On Roll-Off Carrier (ARC) LLC,United States of America,—,—,—,—,9505089,303530000,18080,24246,8S60ME-C
vehicle carrier,66474,Trans Pacific,Dead,Panama,10537,1973,-30'gt,12682,Single,—,16418,—,—,,—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7225001,—,7382,9900,UNKNOWN
vehicle carrier,6714,Marwa III,Live,Panama,1820,1975,-30'gt,—,Single,3EGY9,2366,631,Honda Shipbuilding Company Limited,Saiki,78.00,—,14.50,14.50,8.30,4.30,4.00,—,Unknown Engine Designer,Unknown Owners,—,Panama,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,—,—,—,—,—,—,—,—,—,—,7501340,351861000,1491,2000,6L35MC
vehicle carrier,67236,Asian Harp,Dead,Philippines,4070,1975,-30'gt,3521,Single,—,7553,632,Honda Shipbuilding Company Limited,Saiki,104.00,98.50,18.00,18.00,7.45,6.57,0.88,Pielstick (Blohm & Voss) Semt,Semt Pielstick SA,Shuwa Kaiun,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7426083,—,5816,7800,12PC2-5V-400
vehicle carrier,67237,Emily Star,Dead,Panama,2919,1975,-30'gt,5138,Single,—,4666,—,—,,—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7500413,—,7755,10400,UNKNOWN
vehicle carrier,67300,Arung Palaka,Dead,Indonesia,3220,1975,-30'gt,2013,Single,—,4740,682,Kegoya Dock K.K.,Kure,91.00,84.50,7.32,7.32,16.00,5.52,10.48,Makita Corporation,Makita Corporation,Bosowa,—,Jakarta,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7429671,—,3057,4100,KSLH647
vehicle carrier,67361,Triton,Dead,Singapore,11577,1976,-30'gt,28583,Single,—,18727,—,—,,—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,Singapore,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7420912,—,8650,11600,UNKNOWN
vehicle carrier,67656,Sea Transit,Dead,Liberia,8442,1976,-30'gt,10215,Single,—,25884,—,—,Netherlands,187.00,—,22.90,—,16.80,8.00,8.80,—,Unknown Engine Designer,Norske A.,—,Monrovia,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7420986,—,9843,13200,UNKNOWN
vehicle carrier,67773,Chang Ru,Dead,China,2542,1975,-30'gt,3212,Single,—,4065,683,Kegoya Dock K.K.,Kure,91.00,84.49,15.50,15.50,5.80,5.74,0.06,Makita Corporation,Makita Corporation,Sinotrans,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7501388,—,3057,4100,KSLH647
vehicle carrier,70617,Pacific Venture,Dead,Panama,5461,1976,-30'gt,7003,Single,—,9043,—,—,Japan,161.00,—,23.10,—,16.10,6.70,9.40,—,Unknown Engine Designer,—,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7403419,—,7979,10700,UNKNOWN
vehicle carrier,71131,Morning Cape,Dead,Panama,3494,1976,-30'gt,4782,Single,—,11646,475,Towa Shipbuilding Company Limited,Shimonoseki,147.00,136.00,18.00,18.00,6.75,5.90,0.85,Akasaka Diesels Limited,Mitsubishi Heavy Industries Limited,Cido (Korea),—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7397048,—,3384,4538,6UET52/90D
vehicle carrier,71635,Morning Ace,Dead,Panama,7104,1976,-30'gt,17087,Single,—,23679,399,Naikai Zosen Shipbuilding Corporation,Setoda,174.50,163.25,25.40,25.40,8.10,7.20,0.91,Hitachi Zosen Corporation,B&W Diesel A/S,Bangladesh Breakers,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7429308,—,9247,12400,9K62EF
vehicle carrier,72013,Friendship,Dead,Panama,7373,1976,-30'gt,8809,Single,—,24578,1741,Mitsubishi Heavy Industries Limited Shipbuilding,Nagasaki,175.00,—,—,—,16.80,7.20,9.60,—,Unknown Engine Designer,—,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7512923,—,9769,13100,UNKNOWN
vehicle carrier,72031,Moon River,Dead,Liberia,11813,1976,-30'gt,28662,Single,—,16856,—,—,Japan,179.00,—,25.50,—,15.50,11.20,4.30,—,Unknown Engine Designer,—,—,Monrovia,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7510377,—,8650,11600,UNKNOWN
vehicle carrier,72043,Rosetta,Dead,Liberia,9853,1976,-30'gt,15437,Single,—,17963,—,—,Japan,197.00,184.00,28.00,28.00,12.05,9.03,3.02,—,Unknown Engine Designer,NYK Line.,—,Monrovia,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7426021,—,17300,23200,UNKNOWN
vehicle carrier,72044,Prosper World,Dead,Liberia,2621,1976,-30'gt,4842,Single,—,4686,—,—,Japan,137.00,—,18.30,—,7.00,6.30,0.70,—,Unknown Engine Designer,—,—,Monrovia,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7526144,—,5966,8000,UNKNOWN
vehicle carrier,72064,Queen Opal,Dead,Panama,3335,1976,-30'gt,8763,Single,—,6126,—,—,Japan,174.00,—,25.40,—,8.10,7.20,0.90,—,Unknown Engine Designer,—,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7429310,—,9247,12400,UNKNOWN
