Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng
Star Bonaire,edible oil tanker,Harlingen,Scheepswerf en Reparatiebedrijf Harlingen BV,276424,Live,Netherlands,796,1'+ dwt,3400,Double Side,PHHU,2257,202,89.90,84.98,11.90,11.90,5.15,1.40,Wartsila China Limited,Zaandam,-,Koole (Contractors) Holding BV,Netherlands,C. Koole Tanktransport B.V.,Netherlands,Star Bonaire B.V.,Netherlands,-,-,-,-,9148453,246359000,6.55,1997,-,-,-,-,Wartsila Finland oy,1485,2019,9L20,-,Bureau Veritas,-,-,2024-07-12T00:00:00,2024-07-25T00:00:00,2022-01-01T00:00:00,2021-06-30T00:00:00,2027-01-17T00:00:00,2027-01-17T00:00:00,Star Bonaire B.V.,Netherlands,Star Bonaire B.V.,Netherlands,ROTTERDAM,-,A,17 Aug 2026 14:16:52 GMT,15 Aug 2026 21:00:00 GMT,C. Koole Tanktransport B.V.,Netherlands,"51° 57' 27"" N","4° 7' 32"" E"
Hercules,asphalt tanker,Singapore,President Marine Private Limited,276756,Live,Palau,1316,1'+ dwt,4780,Double Hull,T8A3472,4386,212,105.00,98.60,18.03,18.00,5.00,2.00,Wartsila Corporation,-,-,Unknown Owners,-,Unknown Owners,-,Seamelina Limited,Marshall Islands,-,-,-,-,9155248,511100348,7.00,1997,-,-,-,-,Wartsila Finland oy,2460,3344,6R32,-,Russian Register of Ships,-,-,-,-,2017-08-02T00:00:00,-,-,-,Venga Maritime Corporation,Marshall Islands,Venga Maritime Corporation,Marshall Islands,-,-,A,17 Aug 2026 13:35:04 GMT,-,Unknown Owners,-,"41° 52' 45"" N","40° 50' 28"" E"
B2 Ocean,asphalt tanker,Singapore,Southern Ocean Shipbuilding Company Private Limited,276844,Live,Comoros,1179,1'+ dwt,4661,Double Hull,D6A3498,3932,218,97.65,91.35,17.00,17.00,5.80,2.41,Wartsila Corporation,Moroni,-,Unknown Owners,-,Unknown Owners,-,Unknown Owners,-,-,-,-,-,9144184,620999559,8.20,1996,-,-,-,-,Wartsila Finland oy,2460,3345,6R32,-,-,-,-,-,-,2016-06-02T00:00:00,-,-,-,-,-,Unknown Owners,-,-,-,A,17 Aug 2026 14:16:01 GMT,-,Unknown Owners,-,"25° 25' 20"" N","55° 18' 2"" E"
A3R H,asphalt tanker,Stroobos,Scheepswerf & Machinefabriek Barkmeijer Stroobos B.V. Shipbuilding,276919,Live,Comoros,1321,1'+ dwt,6649,Double Hull,D6A3994,4405,285,113.44,107.50,15.80,15.80,6.66,2.84,Rolls-Royce Marine A/S,Moroni,-,Unknown Owners,-,Unknown Owners,-,A3R H Shipping Inc,Liberia,-,-,-,-,9142502,620999994,9.50,1997,-,-,-,-,Ulstein Bergen AS,3690,5017,BRM-9,Hydor AS,Indian Register,-,-,-,-,2022-12-27T00:00:00,-,2027-05-31T00:00:00,2027-05-31T00:00:00,S A Marine Services,India,S A Marine Services,India,ARM GUARD ONBOARD,-,A,17 Aug 2026 13:49:31 GMT,24 Aug 2026 17:00:00 GMT,Unknown Owners,-,"0° 31' 30"" S","50° 3' 2"" E"
Jerusalem,asphalt tanker,Yawatahama,Kurinoura Dockyard K.K.,277896,Live,Bangladesh,448,1'+ dwt,1350,Single,S2EW,695,151,64.00,59.52,10.00,3.91,3.90,0.60,Akasaka Diesels Limited,-,-,Ebadee Petro Carriers Private Limited,Bangladesh,Ebadee Petro Carriers Private Limited,Bangladesh,Ebadee Petro Carriers Private Limited,Bangladesh,-,-,-,-,7921447,-,4.50,1980,-,-,-,-,Akasaka Diesels Limited,1193,1600,DM33,-,-,-,-,-,-,-,-,-,-,-,-,Ebadee Petro Carriers Private Limited,Bangladesh,-,-,-,-,-,Ebadee Petro Carriers Private Limited,Bangladesh,-,-
Pusaka Prima,asphalt tanker,Hashihama,Shin Kurushima Dockyard Company Limited,279000,Live,Malaysia,1281,1'+ dwt,4147,Single,9MWY9,4268,H 2906,106.18,99.95,18.20,18.20,4.50,3.51,Akasaka Diesels Limited,Port Klang,-,Blackhem Holdings Sendirian Berhad,Malaysia,May Maritime Services Sendirian Berhad,Malaysia,May Tanker Sendirian Berhad,Malaysia,-,-,-,-,9154141,533130716,8.00,1996,-,-,-,-,Akasaka Diesels Limited,1912,2210,A37,-,RINA Services S.p.A.,-,-,-,-,2018-01-26T00:00:00,-,2028-01-26T00:00:00,2028-01-26T00:00:00,May Maritime Services Sendirian Berhad,Malaysia,May Maritime Services Sendirian Berhad,Malaysia,-,-,A,17 Aug 2026 13:26:20 GMT,-,May Maritime Services Sendirian Berhad,Malaysia,"2° 7' 12"" N","111° 20' 18"" E"
Bitumen Star,asphalt tanker,Hakata,Murakami Hide Shipbuilding Company Limited,279003,Live,Cook Islands,1190,1'+ dwt,4993,Single,E5U4182,3964,390,102.99,97.00,17.80,17.80,5.80,2.70,Akasaka Diesels Limited,Avatiu,-,Unknown Owners,-,Unknown Owners,-,FM Marine Incorporated,Marshall Islands,-,-,-,-,9159282,518998204,8.50,1997,-,-,-,-,Akasaka Diesels Limited,2647,3600,A41S,-,Nippon Kaiji Kyokai,-,-,2020-12-17T00:00:00,-,2017-09-08T00:00:00,-,2027-02-21T00:00:00,2027-02-21T00:00:00,Gurukripa Marine Services Private Limited,India,Gurukripa Marine Services Private Limited,India,-,-,A,17 Aug 2026 14:12:23 GMT,-,Unknown Owners,-,"25° 23' 9"" N","56° 31' 26"" E"
Asa 01,asphalt tanker,Kinoe,Sasaki Shipbuilding Company Limited,279038,Live,Indonesia,-,1'+ dwt,1535,Double Hull,YDCU2,747,607,69.98,65.00,12.00,12.00,4.45,0.55,Akasaka Diesels Limited,-,-,Unknown Owners,-,Unknown Owners,-,Unknown Owners,-,-,-,-,-,9159505,525701243,5.00,1996,-,-,-,-,Akasaka Diesels Limited,1323,1800,A31R,Hydor AS,Biro Klasifikasi Indonesia,-,-,-,-,2016-01-25T00:00:00,-,-,-,-,-,Unknown Owners,-,-,-,A,17 Aug 2026 14:16:30 GMT,-,Unknown Owners,-,"7° 11' 31"" S","112° 43' 25"" E"
Athena Voyage,asphalt tanker,Jingjiang,Jingjiang Shipyard,279299,Live,Palau,2706,1'+ dwt,10767,Double Hull,T8A4855,9020,JS96-002,135.48,126.00,-,21.40,8.10,3.60,B&W Diesel A/S,Malakal Harbor,-,Unknown Owners,-,Unknown Owners,-,Athena Voyage Shipping INC,India,-,-,-,-,9159816,511101478,11.80,1999,-,-,-,-,Yichang Marine Diesel Engine Plant,4200,5500,6S35MC,Hydor AS,China Classification,-,-,-,-,2017-06-01T00:00:00,-,2027-04-15T00:00:00,2027-04-15T00:00:00,-,-,Silver Gate Ship Management,India,IN KRW,Karwar,A,17 Aug 2026 14:10:57 GMT,21 Aug 2026 10:00:00 GMT,Unknown Owners,-,"6° 0' 52"" N","81° 38' 21"" E"
Sumber Mutiara IV,edible oil tanker,Kinoe,Sasaki Shipbuilding Company Limited,279908,Live,Indonesia,331,-1' dwt,999,Single,PLXB,571,102,54.00,49.00,-,9.00,4.00,0.40,Otsuka Diesel,Jakarta,-,P.T. Sirontalo Perkasa,Indonesia,P.T. Sirontalo Perkasa,Indonesia,P.T. Sirontalo Perkasa,Indonesia,-,-,-,-,6711065,-,4.40,1967,-,-,-,-,Otsuka Diesel,746,1000,SODHS6X25,-,-,-,-,-,-,1994-06-01T00:00:00,-,-,-,-,-,P.T. Sirontalo Perkasa,Indonesia,-,-,-,-,-,P.T. Sirontalo Perkasa,Indonesia,-,-
