Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng
Da Kun Shan,asphalt tanker,China,Gezhouba Group Shipyard,10013556,Live,"Hong Kong, S.A.R., China",1647,1'+ dwt,6162,Double Hull,VRTC8,5493,GMSC086,106.84,101.50,-,17.60,6.50,3.60,Yanmar Diesel Engine Company Limited,Hong Kong,-,Wideshine Enterprises Company Limited,People's Republic of China,Tianjin Southwest Maritime Limited (TSM),People's Republic of China,Ever Peace Maritime Limited,"Hong Kong, S.A.R., China",-,-,-,-,9567685,477455600,10.10,2009,-,-,-,-,Qingdao Zichai Boyang Diesel Engine Company Limited,3310,4497,8N330-EN,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),Bureau Veritas,-,-,2024-09-01T00:00:00,2023-01-16T00:00:00,2025-07-01T00:00:00,2019-12-10T00:00:00,2029-08-31T00:00:00,2029-08-31T00:00:00,Tianjin Southwest Maritime Limited (TSM),People's Republic of China,Tianjin Southwest Maritime Limited (TSM),People's Republic of China,HONGKONG,Hong Kong,A,17 Aug 2026 14:12:16 GMT,19 Aug 2026 08:00:00 GMT,Tianjin Southwest Maritime Limited (TSM),People's Republic of China,"24° 41' 56"" N","119° 18' 16"" E"
Orange Star,fruit juice tanker,Split,Brodogradiliste Brodosplit Shipbuilding,10014384,Live,Liberia,10329,1'+ dwt,36994,Double Hull,A8WP6,34432,469,189.90,182.00,-,32.24,10.15,6.95,B&W Diesel A/S,Monrovia,-,Atlanship SA,Switzerland,Atlanship SA,Switzerland,North Sea Reefer Enterprise S.A.,Switzerland,-,-,-,-,9564384,636014800,17.10,2011,-,-,-,-,Brodosplit-Tvornica Dizel Motora d.o.o.,8600,11685,6S50MC-C,NorthStandard,Bureau Veritas,-,-,2026-03-16T00:00:00,2024-03-04T00:00:00,2026-03-01T00:00:00,2024-03-04T00:00:00,2031-02-17T00:00:00,2031-02-17T00:00:00,Atlanship SA,Switzerland,Atlanship SA,Switzerland,BRSSZ,Santos,A,17 Aug 2026 13:30:20 GMT,27 Aug 2026 08:00:00 GMT,Atlanship SA,Switzerland,"16° 41' 23"" N","51° 12' 11"" W"
Hanyu Empire,asphalt tanker,Nanjing,Nanjing Yonghua Shipbuilding Industry Company Limited,10016223,Live,South Korea,1745,1'+ dwt,5999,Double Hull,DSQP2,4387,YHSC-0710,102.40,95.00,-,17.00,7.02,1.88,HD Hyundai Heavy Industries Company Limited,Jeju,-,Hanyu Company Limited,Republic of Korea,Hanyu Company Limited,Republic of Korea,Hanyu Company Limited,Republic of Korea,-,-,-,-,9561112,441652000,8.90,2010,-,-,-,-,The Hanshin Diesel Works Limited,2620,3028,9H25/33P,Korea Shipowners Mutual Protection & Indemnity Association,Korean Register,-,-,-,-,-,-,2029-03-04T00:00:00,2029-03-04T00:00:00,Hanyu Company Limited,Republic of Korea,Hanyu Company Limited,Republic of Korea,"ULSAN,KR",Ulsan,A,17 Aug 2026 14:14:32 GMT,20 Aug 2026 08:30:00 GMT,Hanyu Company Limited,Republic of Korea,"28° 8' 56"" N","122° 44' 1"" E"
Vetor Quinto,wine tanker,Kyrksaetrora,Vaagen Verft Engineering AS,100174,Live,Italy,235,-1' dwt,944,Single,INVR,619,27,62.03,55.30,9.45,9.45,3.66,0.39,Deutz AG,Naples,-,Vetor S.r.l.,Italy,Vetor S.r.l.,Italy,Vetor S.r.l.,Italy,-,-,-,-,6360696,247222900,4.05,1963,-,-,-,-,Deutz AG,588,800,RBV6M545,-,RINA Services S.p.A.,-,-,-,-,2018-05-31T00:00:00,-,2028-05-31T00:00:00,2028-05-31T00:00:00,-,-,Vetor S.r.l.,Italy,MANFREDONIA>TREMITI,-,A,17 Aug 2026 14:14:02 GMT,17 Aug 2026 14:30:00 GMT,Vetor S.r.l.,Italy,"42° 6' 52"" N","15° 29' 39"" E"
Elizabeth 1,asphalt tanker,Haiphong,Haiphong PTS Shipbuilding Company Limited,10019771,Live,Indonesia,493,1'+ dwt,2107,Double Hull,YDWH3,1730,S-001,78.64,72.00,-,12.00,5.80,0.81,Akasaka Diesels Limited,Cilacap,-,PT Aspindo Bahari Luas,Indonesia,PT Aspindo Bahari Luas,Indonesia,PT Aspindo Bahari Luas,Indonesia,-,-,-,-,9540900,525801660,5.80,2009,-,-,-,-,Akasaka Diesels Limited,1765,2039,A34S,Hydor AS,RI (provisional), (provisional), (provisional),-,-,2010-03-01T00:00:00,-,2029-09-29T00:00:00,2029-09-29T00:00:00,PT Aspindo Bahari Luas,Indonesia,PT Aspindo Bahari Luas,Indonesia,CILACAP,Cilacap (Tjilatjap),A,17 Aug 2026 12:56:27 GMT,18 Aug 2026 12:00:00 GMT,PT Aspindo Bahari Luas,Indonesia,"8° 21' 26"" S","111° 9' 54"" E"
Bumi Sarana,asphalt tanker,Tokyo,Shin Kurushima Dockyard Company Limited,100360,Live,Indonesia,681,1'+ dwt,2506,Double Hull,-,1477,772,75.00,70.01,12.37,12.37,5.34,0.40,Daihatsu Diesel Manufacturing Company Limited,-,-,Rio Grande Company Limited,Japan,Rio Grande Company Limited,Japan,Rio Grande Shipping Overseas Corporation S.A.,Panama,-,-,-,-,7373559,-,5.74,1973,-,-,-,-,Daihatsu Diesel Manufacturing Company Limited,1491,2000,6DSM-32F,-,-,-,-,-,-,-,-,-,-,-,-,Rio Grande Company Limited,Japan,-,-,-,-,-,Rio Grande Company Limited,Japan,-,-
Athel,molasses tanker,Lowestoft,Richards (Shipbuilders) Limited,100365,Live,Trinidad & Tobago,302,1'+ dwt,1031,Single,9YFB,812,530,59.00,-,10.40,10.06,4.00,0.30,Mirrlees Blackstone Limited,-,-,Associated Marine Services Limited,Trinidad & Tobago,Associated Marine Services Limited,Trinidad & Tobago,Associated Marine Services Limited,Trinidad & Tobago,-,-,-,-,7413220,-,4.30,1977,-,-,-,-,Mirrlees Blackstone Limited,447,600,ESL6,-,-,-,-,-,-,-,-,-,-,-,-,Associated Marine Services Limited,Trinidad & Tobago,-,-,-,-,-,Associated Marine Services Limited,Trinidad & Tobago,-,-
Taira Maru,asphalt tanker,Yawatahama,Kurinoura Dockyard K.K.,10054231,Live,Japan,-,1'+ dwt,1435,Double Hull,JD2968,748,411,69.99,68.00,-,11.30,4.33,0.27,The Hanshin Diesel Works Limited,-,-,Taira Kisen K.K.,Japan,Taira Kisen K.K.,Japan,Taira Kisen K.K.,Japan,-,-,-,-,9553098,431001045,4.60,2009,-,-,-,-,The Hanshin Diesel Works Limited,1124,1800,LH30LG,-,-,-,-,-,-,-,-,-,-,-,-,Taira Kisen K.K.,Japan,>JP YKK/3  OFF,-,A,17 Aug 2026 14:13:09 GMT,13 Aug 2026 09:00:00 GMT,Taira Kisen K.K.,Japan,"34° 57' 19"" N","136° 38' 43"" E"
Fang Cheng Gang,asphalt tanker,Yichang,China Gezhouba Group Machinery & Ship Company Limited,10084354,Live,"Hong Kong, S.A.R., China",1647,1'+ dwt,6192,Double Hull,VRHQ6,5493,GMSC87,106.84,101.50,-,17.60,6.50,3.60,Yanmar Diesel Engine Company Limited,Hong Kong,-,Wideshine Enterprises Company Limited,People's Republic of China,Fangchenggang Southwest Maritime Limited,People's Republic of China,United Rich Maritime Limited,"Hong Kong, S.A.R., China",-,-,-,-,9571674,477963300,10.10,2010,-,-,-,-,Qingdao Zichai Boyang Diesel Engine Company Limited,3310,4497,8N330-EN,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),Bureau Veritas,-,-,2025-04-15T00:00:00,2022-07-12T00:00:00,2025-04-01T00:00:00,2015-04-21T00:00:00,2030-04-25T00:00:00,2030-04-25T00:00:00,Tianjin Southwest Maritime Limited (TSM),People's Republic of China,Tianjin Southwest Maritime Limited (TSM),People's Republic of China,PWBGA SINGAPORE,-,A,17 Aug 2026 14:15:29 GMT,15 Aug 2026 03:00:00 GMT,Fangchenggang Southwest Maritime Limited,People's Republic of China,"1° 14' 58"" N","103° 42' 57"" E"
Erica 10,asphalt tanker,Wenling,Zhejiang Tianshi Shipbuilding Company Limited,10088103,Live,Indonesia,1717,1'+ dwt,5869,Double Hull,YCHV,4126,TY2,112.10,105.50,16.20,16.20,6.00,2.00,Yanmar Diesel Engine Company Limited,Jakarta,-,P.T. Bitumen Marasende,Indonesia,P.T. Bitumen Marasende,Indonesia,P.T. Bitumen Marasende,Indonesia,-,-,-,-,9572862,525003391,8.00,2012,-,-,-,-,Shaanxi Diesel Engine Factory,2574,3452,6N330-EN,-,Indian Register,-,-,-,-,2022-11-16T00:00:00,-,2027-04-10T00:00:00,2027-04-10T00:00:00,P.T. Edricko Shipping Lines,Indonesia,P.T. Edricko Shipping Lines,Indonesia,CIGADING_ID,-,A,17 Aug 2026 14:06:38 GMT,12 Aug 2026 16:48:00 GMT,P.T. Bitumen Marasende,Indonesia,"6° 0' 8"" S","105° 56' 21"" E"
Anjaneya,asphalt tanker,Zhoushan,Zhoushan Haichen Marine Service & Ship Engineering Company Limited,10172014,Live,Palau,1900,1'+ dwt,6250,Double Hull,T8A4840,4476,HC08-01,110.30,102.70,-,16.80,6.50,2.00,Yanmar Diesel Engine Company Limited,Malakal Harbor,-,Anjaneya Shipping Corporation,Marshall Islands,Anjaneya Shipping Corporation,Marshall Islands,Anjaneya Shipping Corporation,Marshall Islands,-,-,-,-,9578323,511101469,8.50,2010,-,-,-,-,Qingdao Zichai Boyang Diesel Engine Company Limited,2574,2973,6N330-EN,-,China Classification,-,-,-,-,-,-,2028-12-11T00:00:00,2028-12-11T00:00:00,Sabine Marine Services,India,Sabine Marine Services,India,"DIGHI,IN",-,A,17 Aug 2026 14:01:25 GMT,21 Aug 2026 06:00:00 GMT,Anjaneya Shipping Corporation,Marshall Islands,"23° 12' 3"" N","66° 39' 44"" E"
Suzuka Maru,asphalt tanker,Yawatahama,Kurinoura Dockyard K.K.,10186296,Live,Japan,-,1'+ dwt,1437,Double Hull,JD3012,748,412,69.99,68.00,-,11.30,4.33,0.27,The Hanshin Diesel Works Limited,-,-,Nakata Kaiun Company Limited,Japan,Nakata Kaiun Company Limited,Japan,Nakata Kaiun Company Limited,Japan,-,-,-,-,9566215,431001206,4.60,2010,-,-,-,-,Hanshin Nainenki Kogyo,1124,1800,LH30L,-,-,-,-,-,-,-,-,-,-,-,-,Nakata Kaiun Company Limited,Japan,>JP SGM ENEOS 6-H,Ishinomaki,A,17 Aug 2026 14:14:58 GMT,18 Aug 2026 08:40:00 GMT,Nakata Kaiun Company Limited,Japan,"38° 24' 56"" N","141° 16' 39"" E"
Vassilios XVIII,asphalt tanker,Aukra,Vard Norway Offshore AS,102042,Live,Togo,677,1'+ dwt,2575,Double Hull,5VAU9,1471,60,69.70,64.40,12.70,12.70,5.70,0.91,SKL Motoren-und Systemtechnik GmbH,-,-,M. Koutlakis & Company Limited,Greece,Vassiliki II Shipping Company,Greece,Vasilios XVIII Shipping Company,Greece,Vassilios Shipping Company,Greece,-,-,7606932,671151000,6.60,1977,-,-,-,-,SKL Motoren-und Systemtechnik GmbH,984,1320,8NVD48-2U,-,-,-,-,-,-,2001-03-01T00:00:00,-,-,-,-,-,Vassiliki II Shipping Company,Greece,-,-,-,-,-,Vassiliki II Shipping Company,Greece,-,-
Xing Hai Wan,asphalt tanker,Guangzhou,Guangzhou Huangpu Shipbuilding Company Limited,10242903,Live,Panama,1669,1'+ dwt,6123,Double Hull,HP5831,5565,2288,106.99,101.50,-,17.60,6.50,3.61,The Hanshin Diesel Works Limited,Panama,-,China COSCO Shipping Corporation Limited (China Cosco Shipping Group) (COSCO Shipping) (COSCOCS),People's Republic of China,COSCO Shipping Asphalt (Hainan) Company Limited,People's Republic of China,Xinghaiwan Maritime S.A.,People's Republic of China,-,-,-,-,9570113,371737000,10.10,2010,-,-,-,-,Wartsila Italia S.p.A.,3060,3380,9L26B2,China Shipowners Mutual Assurance Association,China Classification,-,-,-,-,2019-07-13T00:00:00,-,2029-07-12T00:00:00,2029-07-12T00:00:00,COSCO Shipping Asphalt (Hainan) Company Limited,People's Republic of China,COSCO Shipping Asphalt (Hainan) Company Limited,People's Republic of China,STEINKJER,Steinkjer,A,17 Aug 2026 14:15:05 GMT,19 Aug 2026 01:00:00 GMT,COSCO Shipping Asphalt (Hainan) Company Limited,People's Republic of China,"58° 0' 19"" N","4° 54' 59"" E"
Ning Hai Wan,asphalt tanker,Guangzhou,Guangzhou Huangpu Shipbuilding Company Limited,10271692,Live,Panama,1669,1'+ dwt,6264,Double Hull,3FNA,5565,2289,106.99,101.50,-,17.60,6.60,3.50,The Hanshin Diesel Works Limited,Panama,-,China COSCO Shipping Corporation Limited (China Cosco Shipping Group) (COSCO Shipping) (COSCOCS),People's Republic of China,COSCO Shipping Asphalt (Hainan) Company Limited,People's Republic of China,Ninghaiwan Maritime Company Limited,"Hong Kong, S.A.R., China",-,-,-,-,9578385,371078000,10.10,2010,-,-,-,-,Wartsila NSD Italia SpA,3060,3380,9L26B2,China Shipowners Mutual Assurance Association,China Classification,-,-,-,-,2020-04-09T00:00:00,-,2030-01-06T00:00:00,2030-01-06T00:00:00,COSCO Shipping Asphalt (Hainan) Company Limited,People's Republic of China,COSCO Shipping Asphalt (Hainan) Company Limited,People's Republic of China,GUISHAN CHINA,-,A,17 Aug 2026 14:10:13 GMT,16 Aug 2026 03:00:00 GMT,COSCO Shipping Asphalt (Hainan) Company Limited,People's Republic of China,"22° 57' 13"" N","113° 33' 3"" E"
Iver Balance,asphalt tanker,Ulsan,HD Hyundai Mipo Company Limited,10307244,Live,Portugal,1784,1'+ dwt,6180,Double Hull,CQ2366,5948,2300,109.94,102.20,-,18.20,6.60,3.41,The Hanshin Diesel Works Limited,-,-,Vroon Group B.V.,Netherlands,Iver Ships B.V.,Netherlands,HB Tankship I B.V.,Netherlands,-,-,-,-,9588251,255915908,10.00,2011,-,-,-,-,The Hanshin Diesel Works Limited,2942,3997,LH46L,Steamship Mutual Underwriting Association (Bermuda) Ltd,RI (provisional), (provisional), (provisional),-,-,2017-03-02T00:00:00,-,2031-02-20T00:00:00,2031-02-20T00:00:00,Iver Ships B.V.,Netherlands,Iver Ships B.V.,Netherlands,MA MOH,-,A,17 Aug 2026 14:13:26 GMT,15 Aug 2026 00:00:00 GMT,Iver Ships B.V.,Netherlands,"33° 44' 13"" N","7° 21' 32"" W"
Iver Beauty,asphalt tanker,Ulsan,HD Hyundai Mipo Company Limited,10307245,Live,Gibraltar,1784,1'+ dwt,6175,Double Hull,ZDKD4,5948,2301,109.94,102.20,-,18.20,6.60,3.41,The Hanshin Diesel Works Limited,Gibraltar,-,Vroon Group B.V.,Netherlands,Iver Ships B.V.,Netherlands,HB Tankship II BV,Netherlands,-,-,-,-,9588263,236594000,10.00,2011,-,-,-,-,-,2942,4982,LH46L,Steamship Mutual Underwriting Association (Bermuda) Ltd,RI (provisional), (provisional), (provisional),-,-,2017-04-13T00:00:00,-,2031-03-17T00:00:00,2031-03-17T00:00:00,Iver Ships B.V.,Netherlands,Iver Ships B.V.,Netherlands,GR AGT,-,A,17 Aug 2026 14:15:51 GMT,16 Aug 2026 14:45:00 GMT,Iver Ships B.V.,Netherlands,"37° 53' 41"" N","23° 9' 13"" E"
Iver Best,asphalt tanker,Ulsan,HD Hyundai Mipo Company Limited,10307246,Live,Portugal,1784,1'+ dwt,6187,Double Hull,CQ2525,5948,2302,109.94,102.20,-,18.20,6.60,3.41,The Hanshin Diesel Works Limited,-,-,Vroon Group B.V.,Netherlands,Iver Ships B.V.,Netherlands,HB Tankship III B.V.,Netherlands,-,-,-,-,9588275,255916096,10.00,2011,-,-,-,-,The Hanshin Diesel Works Limited,2942,3997,LH46L,Steamship Mutual Underwriting Association (Bermuda) Ltd,RI (provisional), (provisional), (provisional),-,-,2017-09-13T00:00:00,-,2026-10-04T00:00:00,2026-10-04T00:00:00,Iver Ships B.V.,Netherlands,Iver Ships B.V.,Netherlands,ES TAR,Tarragona,A,17 Aug 2026 14:14:18 GMT,19 Aug 2026 02:00:00 GMT,Iver Ships B.V.,Netherlands,"36° 14' 38"" N","3° 14' 2"" W"
Iver Blessing,asphalt tanker,Ulsan,HD Hyundai Mipo Company Limited,10307247,Live,Gibraltar,1784,1'+ dwt,6189,Double Hull,ZDKP2,5948,2303,109.94,102.20,-,18.20,6.60,3.41,The Hanshin Diesel Works Limited,Gibraltar,-,Vroon B.V.,Netherlands,Iver Ships B.V.,Netherlands,HB Tankship IV B.V.,Netherlands,-,-,-,-,9588287,236623000,10.00,2011,-,-,-,-,The Hanshin Diesel Works Limited,2942,3997,LH46L,Steamship Mutual Underwriting Association (Bermuda) Ltd,RI (provisional), (provisional), (provisional),-,-,2018-07-20T00:00:00,-,2026-11-14T00:00:00,2026-11-14T00:00:00,Iver Ships B.V.,Netherlands,Iver Ships B.V.,Netherlands,FOR ORDERS,-,A,17 Aug 2026 14:14:36 GMT,16 Aug 2026 06:00:00 GMT,Iver Ships B.V.,Netherlands,"37° 54' 36"" N","23° 6' 20"" E"
Pacific Explorer,asphalt tanker,Taizhou(Jiangsu),Taizhou Ocean Vessel Building and Repairing,10326317,Live,Mali (False Flag),1717,1'+ dwt,5902,Double Hull,TZAC4,4126,CYC-109,112.10,105.75,-,16.20,6.01,2.01,Yanmar Diesel Engine Company Limited,-,-,Unknown Owners,-,Unknown Owners,-,Unknown Owners,-,-,-,-,-,9571052,649555000,8.00,2011,-,-,-,-,Yanmar Diesel Engine Company Limited,2574,3500,6N330-EN,-,-,-,-,-,-,2021-07-29T00:00:00,-,-,-,-,-,Unknown Owners,-,-,-,A,17 Aug 2026 14:15:00 GMT,-,Unknown Owners,-,"25° 27' 47"" N","55° 13' 9"" E"
Rudra,asphalt tanker,Linhai,Taizhou Ocean Vessel Building and Repairing,10326318,Live,Palau,1717,1'+ dwt,5884,Double Hull,T8A4097,4126,CYC-110,112.10,105.50,-,16.20,6.00,2.00,Yanmar Diesel Engine Company Limited,Malakal Harbor,-,Unknown Owners,-,Unknown Owners,-,Rudra Shipping Incorporated,Liberia,-,-,-,-,9571064,511100880,8.00,2011,-,-,-,-,Qingdao Zichai Boyang Diesel Engine Company Limited,2574,3497,6N330,Hydor AS,China Classification,-,-,-,-,-,-,-,-,Vaishnav Ship Management Private Limited,India,Vaishnav Ship Management Private Limited,India,-,-,A,17 Aug 2026 14:13:31 GMT,-,Unknown Owners,-,"25° 22' 44"" N","56° 29' 55"" E"
Praiano,wine tanker,Savona,Cantieri Navali Solimano,104120,Live,Italy,875,1'+ dwt,2426,Single,IBFU,1397,41,88.10,82.50,11.00,11.00,4.36,0.64,Deutz MWM AG,Naples,-,Marnavi S.p.A.,Italy,Marnavi S.p.A.,Italy,Marnavi S.p.A.,Italy,Agencia Maritima Giuseppe Rallo,Italy,-,-,6826418,247531000,5.00,1968,-,-,-,-,Deutz MWM AG,919,1250,TBD484-8U,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),RINA Services S.p.A.,-,-,-,-,2017-10-31T00:00:00,-,2027-10-31T00:00:00,2027-10-31T00:00:00,-,-,Ares Holdings S.r.l.,Italy,IT ALI,-,A,17 Aug 2026 14:03:00 GMT,17 Aug 2026 05:00:00 GMT,Marnavi S.p.A.,Italy,"38° 33' 44"" N","14° 34' 55"" E"
The Chief,asphalt tanker,Rijeka,3 Maj Brodogradiliste d.d.,10569175,Live,Marshall Islands,3612,1'+ dwt,14912,Double Hull,V7AO4,10866,719,133.26,128.20,-,23.00,8.60,3.90,Wartsila Corporation,Majuro,-,China Minsheng Bank Corporation Limited,People's Republic of China,Minsheng Blueocean Leasing Corporation Limited,"Hong Kong, S.A.R., China",Minsheng Ruihong (Tianjin) Shipping Leasing Company Limited,People's Republic of China,Trafigura Maritime Ventures Limited,Malta,-,-,9492361,538005036,12.40,2013,-,-,-,-,Wartsila Finland oy,4500,6114,W6x35,Steamship Mutual Underwriting Association (Bermuda) Ltd,Bureau Veritas,-,-,2025-10-31T00:00:00,2022-11-20T00:00:00,2024-10-01T00:00:00,2025-10-31T00:00:00,2029-11-11T00:00:00,2029-11-11T00:00:00,Executive Ship Management Private Limited,Republic of Singapore,Executive Ship Management Private Limited,Republic of Singapore,FOR ORDERS,-,A,17 Aug 2026 13:55:17 GMT,04 Sep 2026 10:00:00 GMT,Minsheng Blueocean Leasing Corporation Limited,"Hong Kong, S.A.R., China","6° 14' 23"" S","129° 2' 56"" W"
Palanca Sheriff,asphalt tanker,Rijeka,3 Maj Brodogradiliste d.d.,10569177,Live,Marshall Islands,3612,1'+ dwt,14936,Double Hull,V7ZC8,10866,717,133.28,128.20,24.00,23.00,8.60,3.80,Wartsila Corporation,Majuro,-,Nippo Shipping (Nippo Kaiun K.K.) Company Limited,Japan,Nippo Shipping (Nippo Kaiun K.K.) Company Limited,Japan,NCN Corporation,Panama,-,-,-,-,9492311,538004792,12.40,2013,-,-,-,-,3 Maj Brodogradiliste d.d.,4500,6114,W6x35,Steamship Mutual Underwriting Association (Bermuda) Ltd,Bureau Veritas,-,-,2026-04-24T00:00:00,2023-03-12T00:00:00,2026-05-01T00:00:00,2026-04-24T00:00:00,2030-01-04T00:00:00,2030-01-04T00:00:00,-,-,Nippo Shipping (Nippo Kaiun K.K.) Company Limited,Japan,FOR ORDERS,-,A,17 Aug 2026 14:14:10 GMT,13 Aug 2026 02:00:00 GMT,Nippo Shipping (Nippo Kaiun K.K.) Company Limited,Japan,"51° 24' 55"" N","2° 39' 16"" E"
The Prospector,asphalt tanker,Rijeka,3 Maj Brodogradiliste d.d.,10569189,Live,Marshall Islands,3612,1'+ dwt,14968,Double Hull,V7AK6,10830,718,134.60,128.20,-,23.00,8.60,3.80,Wartsila Corporation,Majuro,-,China Minsheng Bank Corporation Limited,People's Republic of China,Minsheng Financial Leasing Company Limited,People's Republic of China,Minsheng Ruichuan (Tianjin) Shipping Leasing Company Limited,People's Republic of China,Puma Energy Supply And Trading Private Limited,Republic of Singapore,-,-,9492323,538005016,12.40,2013,-,-,-,-,3 Maj Brodogradiliste d.d.,4500,6114,W6x35,Steamship Mutual Underwriting Association (Bermuda) Ltd,Bureau Veritas,-,-,2023-05-27T00:00:00,2026-03-14T00:00:00,2023-09-01T00:00:00,2023-05-27T00:00:00,2028-05-27T00:00:00,2028-05-27T00:00:00,Optra Shipping Limited,Greece,Optra Shipping Limited,Greece,FOR ORDERS,-,A,17 Aug 2026 14:13:31 GMT,18 Aug 2026 10:00:00 GMT,Minsheng Financial Leasing Company Limited,People's Republic of China,"16° 58' 22"" N","109° 5' 39"" E"
The Amigo,asphalt tanker,Rijeka,3 Maj Brodogradiliste d.d.,10569248,Live,Marshall Islands,3612,1'+ dwt,14911,Double Hull,V7ZC7,10866,716,133.26,128.20,23.00,23.00,8.60,3.80,Wartsila Corporation,Majuro,-,China Minsheng Bank Corporation Limited,People's Republic of China,Minsheng Financial Leasing Company Limited,People's Republic of China,Minsheng Haishi (Tianjin) Shipping Leasing Company Limited,People's Republic of China,Trafigura Beheer B.V.,Netherlands,-,-,9492309,538004791,12.40,2012,-,-,-,-,3 Maj Brodogradiliste d.d.,4500,6114,W6x35,Steamship Mutual Underwriting Association (Bermuda) Ltd,Bureau Veritas,-,-,2025-10-14T00:00:00,2023-03-03T00:00:00,2025-01-01T00:00:00,2025-10-13T00:00:00,2029-12-05T00:00:00,2029-12-05T00:00:00,Optra Shipping Limited,Greece,Optra Shipping Limited,Greece,FOR ORDERS,-,A,17 Aug 2026 13:33:38 GMT,19 Aug 2026 11:00:00 GMT,Minsheng Financial Leasing Company Limited,People's Republic of China,"16° 18' 18"" N","78° 4' 12"" W"
Pusaka Gemilang,asphalt tanker,Nanjing,Nanjing East Star Shipbuilding Company Limited,10580415,Live,Malaysia,1143,1'+ dwt,3543,Double Hull,9M2715,3811,ESS100202,97.25,92.00,-,16.00,5.30,2.60,Mak Motoren GmbH & Company KG,Port Klang,-,Blackhem Holdings Sendirian Berhad,Malaysia,May Maritime Services Sendirian Berhad,Malaysia,LG Maritime Sendirian Berhad,Malaysia,-,-,-,-,9553945,533132391,8.19,2011,-,-,-,-,Caterpillar Motoren GmbH & Company KG,2000,3777,6M25,-,-,RINA Services S.p.A.,-,-,-,-,-,2029-06-03T00:00:00,2029-06-03T00:00:00,May Maritime Services Sendirian Berhad,Malaysia,May Maritime Services Sendirian Berhad,Malaysia,CNYGP,Yangpu Port,A,17 Aug 2026 14:07:03 GMT,18 Aug 2026 04:45:00 GMT,May Maritime Services Sendirian Berhad,Malaysia,"17° 16' 42"" N","108° 48' 40"" E"
Courage 7,asphalt tanker,Nanjing,Nanjing East Star Shipbuilding Company Limited,10580416,Live,Gabon,1143,1'+ dwt,3527,Double Hull,TRAY6,3811,ESS100203,97.50,92.57,16.00,16.00,5.30,2.61,Mak Motoren GmbH & Company KG,Libreville,-,Etihad Group,United Arab Emirates,Etihad Engineering & Marine Services FZC,United Arab Emirates,AAA Maritime Shipping S.A.,Panama,-,-,-,-,9553957,626046000,8.20,2015,-,-,-,-,-,2817,3777,6M25,-,-,-,-,-,-,-,-,-,-,Eternal Ship Management Private Limited,India,Eternal Ship Management Private Limited,India,MUSCAT.OMAN,-,A,22 Sep 2025 09:19:55 GMT,19 Sep 2025 02:30:00 GMT,Etihad Engineering & Marine Services FZC,United Arab Emirates,"23° 42' 51"" N","58° 26' 41"" E"
Sidra Al Wakra,asphalt tanker,Linhai,Zhejiang Linhai Haifeng Shipbuilding Company Limited,10625966,Live,Qatar,1070,1'+ dwt,3453,Double Hull,A7SW,2512,HF0905,90.63,82.60,-,14.20,5.35,0.86,Daihatsu Infinearth Manufactoring Company Limited,-,-,Qatar Fuel Company QSC (WOQOD),State of Qatar,WOQOD Marine Services Company,State of Qatar,Sidra Al Wakra Shipping Company,Liberia,-,-,-,-,9588976,466007000,6.20,2012,-,-,-,-,Daihatsu Infinearth Manufactoring Company Limited,1912,2915,6DKM28,Assuranceforeningen Skuld,RINA Services S.p.A.,-,-,-,-,2017-05-30T00:00:00,-,2027-06-26T00:00:00,2027-06-26T00:00:00,WOQOD Marine Services Company,State of Qatar,WOQOD Marine Services Company,State of Qatar,MESD,-,A,17 Aug 2026 13:10:27 GMT,07 Dec 2026 20:00:00 GMT,WOQOD Marine Services Company,State of Qatar,"24° 56' 23"" N","51° 35' 1"" E"
