Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng,# Times In,Total Time In Area
Maran Gas Alexandria,Liquefied Natural Gas Carrier,Samho,HD Hyundai Samho Company Limited,11057260,Live,Greece,33854,"LNG VLGC, 100'-200'cbm",90494,Double Hull,SVCC2,105773,S627,289.00,275.00,-,45.60,11.50,14.50,Unknown Engine Designer,Piraeus,-,Maran Nakilat Company Limited,Cayman Islands,Maran Nakilat Company Limited,Cayman Islands,Greenmare Navigation Corporation,Liberia,Methane Services Limited,United Kingdom,-,-,9650054,241353000,26.00,2015,-,-,-,-,-,-,-,12V50DF,NorthStandard,American Bureau,-,-,2020-04-12T00:00:00,-,2020-08-28T00:00:00,2020-04-12T00:00:00,2030-09-29T00:00:00,2030-09-29T00:00:00,Maran Gas Maritime Incorporated,Greece,Maran Gas Maritime Incorporated,Greece,FOR ORDERS,-,A,03 Jun 2026 12:09:11 GMT,04 Jun 2026 23:00:00 GMT,Maran Nakilat Company Limited,Cayman Islands,"14° 52' 14"" N","79° 5' 2"" W",4,"3 days, 19 hours"
Kool Glacier,Liquefied Natural Gas Carrier,Samho,HD Hyundai Samho Company Limited,11069886,Live,Marshall Islands,33898,"LNG VLGC, 100'-200'cbm",90607,Double Hull,V7DD9,106290,S658,289.00,275.00,45.63,45.60,26.00,0.00,Unknown Engine Designer,Majuro,-,Quantum Pacific Group,Monaco,Cool Company Limited (CoolCo),Bermuda,Kool Glacier Corporation,Marshall Islands,Golar LNG Limited,Bermuda,-,-,9654696,538005373,26.00,2014,-,-,-,-,-,-,-,12V50DF,Assuranceforeningen Gard,DNV,Lloyds Register,-,2025-02-20T00:00:00,-,2025-03-15T00:00:00,-,2029-10-15T00:00:00,2029-10-15T00:00:00,Cool Company Management AS,Norway,Cool Company Management AS,Norway,FOR ORDERS,-,A,03 Jun 2026 12:07:45 GMT,04 Jun 2026 15:00:00 GMT,Cool Company Limited (CoolCo),Bermuda,"25° 1' 9"" N","87° 50' 20"" W",4,"4 days, 22 hours"
Energy Atlantic,Liquefied Natural Gas Carrier,Jinhae,K Shipbuilding Company Limited,11069902,Live,Malta,32970,"LNG VLGC, 100'-200'cbm",89766,Double Hull,9HA3976,106771,S1670,290.00,278.00,-,46.00,12.60,13.40,MAN Energy Solutions SE,Valletta,-,Kanellakis group of companies,Greece,Alpha Gas SA,Greece,Spectacle Shipping and Trading Limited,Malta,-,-,-,-,9649328,256647000,26.00,2015,-,-,-,-,-,11750,15757,9L51/60DF,Assuranceforeningen Gard,Bureau Veritas,-,-,2025-09-28T00:00:00,2023-10-17T00:00:00,2025-09-01T00:00:00,2025-09-28T00:00:00,2030-09-24T00:00:00,2030-09-24T00:00:00,Alpha Gas SA,Greece,Alpha Gas SA,Greece,US NSS,Sabine Pass,A,03 Jun 2026 11:23:09 GMT,08 Jun 2026 04:00:00 GMT,Alpha Gas SA,Greece,"12° 29' 21"" N","64° 58' 15"" W",1,"1 day, 4 hours"
Seapeak Oak,Liquefied Natural Gas Carrier,Okpo,Hanwha Ocean Company Limited,11628228,Live,Bahamas,33979,"LNG VLGC, 100'-200'cbm",95412,Double Hull,C6BF4,113263,2408,294.90,282.90,46.44,46.40,12.52,13.98,MAN Diesel AS,Nassau,-,China Merchants Bank (CMB),People's Republic of China,CMB Financial Leasing Company Limited,People's Republic of China,Sea 349 Leasing Company Limited,"Hong Kong, S.A.R., China",Seapeak LLC,Marshall Islands,-,-,9681699,311000247,26.50,2016,-,-,-,-,-,21195,28422,5G70ME-C9-GI,NorthStandard,DN (provisional), (provisional), (provisional),-,-,2016-07-19T00:00:00,-,2026-07-19T00:00:00,2026-07-19T00:00:00,Seapeak Maritime Limited,Bermuda,Seapeak Maritime Limited,Bermuda,NLRTM,-,A,03 Jun 2026 12:08:22 GMT,02 Jun 2026 22:00:00 GMT,CMB Financial Leasing Company Limited,People's Republic of China,"51° 58' 16"" N","4° 4' 35"" E",1,"1 day, 6 hours"
Seapeak Vancouver,Liquefied Natural Gas Carrier,Goeje Is.,Hanwha Ocean Company Limited,12234743,Live,Bahamas,33979,"LNG VLGC, 100'-200'cbm",95253,Double Hull,C6CN5,113263,2411,294.90,282.90,-,46.40,12.52,13.98,MAN Diesel AS,Nassau,-,China Merchants Bank (CMB),People's Republic of China,CMB Financial Leasing Company Limited,People's Republic of China,Sea 168 Leasing Company Limited,"Hong Kong, S.A.R., China",Seapeak Maritime (Glasgow) Limited,United Kingdom,-,-,9721401,311000520,26.50,2017,-,-,-,-,-,-,-,5G70ME-C9-GI,NorthStandard,DNV,-,-,-,-,2017-02-28T00:00:00,-,2027-02-28T00:00:00,2027-02-28T00:00:00,Seapeak Maritime Limited,Bermuda,Seapeak Maritime Limited,Bermuda,ESCOBAR,Escobar,A,03 Jun 2026 12:04:42 GMT,05 Jun 2026 03:01:00 GMT,CMB Financial Leasing Company Limited,People's Republic of China,"32° 19' 59"" S","49° 53' 33"" W",1,"1 day, 5 hours"
Rioja Knutsen,Liquefied Natural Gas Carrier,Ulsan,HD Hyundai Heavy Industries Company Limited,12236417,Live,Spain,34873,"LNG VLGC, 100'-200'cbm",92782,Double Hull,EARG,116246,2734,290.00,284.00,-,46.40,21.22,5.18,MAN Energy Solutions SE,Santa Cruz de Tenerife,-,Bank of Communications Company Limited,People's Republic of China,Bocom Leasing Management Hong Kong Company Limited,"Hong Kong, S.A.R., China",Xiang T3 HK International Ship Lease Company Limited,Marshall Islands,Naturgy Energy Group S.A,Spain,-,-,9721736,224451000,26.40,2016,-,Wartsila Corporation,Unknown,Unknown,HD Hyundai Heavy Industries Company Limited,-,-,7G70ME-C9-GI,Assuranceforeningen Skuld,LR (provisional), (provisional), (provisional),2024-08-11T00:00:00,-,2021-09-25T00:00:00,-,2026-11-29T00:00:00,2026-11-29T00:00:00,Knutsen OAS Shipping AS,Norway,Knutsen OAS Shipping AS,Norway,KRUSN,Ulsan,A,03 Jun 2026 12:07:29 GMT,05 Jun 2026 15:00:00 GMT,Bocom Leasing Management Hong Kong Company Limited,"Hong Kong, S.A.R., China","35° 18' 19"" N","129° 49' 18"" E",1,"1 day, 5 hours"
British Listener,Liquefied Natural Gas Carrier,South Korea,Hanwha Ocean Company Limited,12395466,Live,Isle of Man,34609,"LNG VLGC, 100'-200'cbm",94494,Double Hull,MAOR6,115366,2444,294.90,282.90,46.44,46.40,12.50,8.48,MAN Diesel AS,Douglas,-,Industrial and Commercial Bank of China Limited (ICBC),People's Republic of China,ICBC Financial Leasing Company Limited,People's Republic of China,Hai Kuo Shipping 1535 Limited,Marshall Islands,BP Shipping Limited,United Kingdom,-,-,9766566,232006297,20.98,2019,-,-,-,-,Doosan Engine Company Limited,21195,28422,5G70ME-C9-GI,"Britannia Steam Ship Insurance Association Ltd., The",LR (provisional), (provisional), (provisional),2024-02-13T00:00:00,-,2024-02-21T00:00:00,-,2029-01-21T00:00:00,2029-01-21T00:00:00,BP Shipping Limited,United Kingdom,BP Shipping Limited,United Kingdom,CORAL,Piraeus,A,03 Jun 2026 12:07:36 GMT,04 Jun 2026 08:00:00 GMT,ICBC Financial Leasing Company Limited,People's Republic of China,"9° 36' 38"" S","44° 28' 57"" E",1,"1 day, 8 hours"
CNTIC VPower Energy,Liquefied Natural Gas Carrier,Nagasaki,Mitsubishi Heavy Industries Limited Shipbuilding,240315,Live,Liberia,31884,"LNG VLGC, 100'-200'cbm",67003,Double Bottom,D5VZ2,106283,2042,272.00,259.00,47.20,47.20,11.37,11.49,Mitsubishi Heavy Industries Limited,Monrovia,-,CCB (China Construction Bank) Financial Leasing Company Limited,People's Republic of China,CCB Marine Corporation Limited,"Hong Kong, S.A.R., China",Compass Shipping 4 Corporation Limited,"Hong Kong, S.A.R., China",China National Technical Import & Export Corporation (CNTIC),People's Republic of China,-,-,8913174,636019750,22.86,1992,-,-,-,-,Mitsubishi Heavy Industries Limited,17140,23300,MITSUBISHI TURBINE,Steamship Mutual Underwriting Association (Bermuda) Ltd,American Bureau,-,-,2017-09-25T00:00:00,-,2017-11-30T00:00:00,-,-,-,Columbia Shipmanagement Limited,Cyprus,Columbia Shipmanagement Limited,Cyprus,MM RGN,-,A,03 Jun 2026 09:07:44 GMT,14 Nov 2026 16:00:00 GMT,CCB Marine Corporation Limited,"Hong Kong, S.A.R., China","16° 39' 12"" N","96° 15' 36"" E",7,"4 days, 14 hours"
Lady Eva,Liquefied Natural Gas Carrier,Nagasaki,Mitsubishi Heavy Industries Limited Shipbuilding,284435,Live,Indonesia,33550,"LNG VLGC, 100'-200'cbm",76210,Double Hull,YDIF3,111835,2148,290.00,276.00,46.00,46.00,11.68,13.82,Mitsubishi Heavy Industries Limited,-,-,PT Mitrausaha Tanker Persada,Indonesia,PT Mitrausaha Tanker Persada,Indonesia,PT Mitrausaha Tanker Persada,Indonesia,Arcadia Shipping Private Limited,Republic of Singapore,-,-,9165011,525701066,25.50,2000,-,-,-,-,Mitsubishi Heavy Industries Limited,21616,28987,MS32-2,NorthStandard,Lloyds Register,-,-,2024-05-13T00:00:00,-,2024-05-17T00:00:00,-,2029-05-16T00:00:00,2029-05-16T00:00:00,Arcadia Shipping Private Limited,Republic of Singapore,Arcadia Shipping Private Limited,Republic of Singapore,-,-,A,03 Jun 2026 10:29:47 GMT,-,PT Mitrausaha Tanker Persada,Indonesia,"8° 53' 24"" S","116° 44' 18"" E",1,"1 day, 5 hours"
Grand Reach,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,352598,Live,"Hong Kong, S.A.R., China",28726,"LNG VLGC, 100'-200'cbm",79046,Double Hull,VRXV9,95753,1553,283.06,270.00,-,43.40,11.40,14.60,Kawasaki Heavy Industries Limited (Tokyo),Hong Kong,-,Unknown Owners,-,Unknown Owners,-,Rising Universe Shipping Limited,"Hong Kong, S.A.R., China",-,-,-,-,9307188,477248600,26.00,2006,-,-,-,-,Kawasaki Heavy Industries Limited Shipbuilding Division,26342,35325,UA-400,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),American Bureau,-,-,2019-03-19T00:00:00,2019-02-11T00:00:00,2016-04-19T00:00:00,2016-04-19T00:00:00,2031-04-06T00:00:00,2031-04-06T00:00:00,Executive Ship Management Private Limited,Republic of Singapore,Executive Ship Management Private Limited,Republic of Singapore,CN YGK,Nanjing,A,03 Jun 2026 09:36:17 GMT,02 Jun 2026 20:30:00 GMT,Unknown Owners,-,"32° 32' 56"" N","121° 25' 52"" E",1,"1 day, 6 hours"
