Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng,# Times In,Total Time In Area
Coral Actinia,Combined LNG and LPG Gas Carrier,Jiangdu,AVIC Dingheng Shipbuilding Company Limited,10526439,Live,Netherlands,1886,"LNG, -100'cbm",6685,Double Hull,PBUC,6288,DH0007,115.00,108.86,17.00,16.80,7.80,2.00,Mak Motoren GmbH & Company KG,Rotterdam,-,Anthony Veder Group N.V.,Netherlands,Anthony Veder Rederijzaken B.V.,Netherlands,Coral Actinia Shipping B.V.,Netherlands,-,-,-,-,9601742,246122000,9.80,2013,-,-,-,-,Caterpillar Motoren Rostock GmbH,6000,8152,6M43,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,Bureau Veritas,-,-,2022-10-02T00:00:00,2026-02-22T00:00:00,2022-10-01T00:00:00,2022-10-02T00:00:00,2028-01-02T00:00:00,2028-01-02T00:00:00,Anthony Veder Rederijzaken B.V.,Netherlands,Anthony Veder Rederijzaken B.V.,Netherlands,KR TSN,Daesan/Seosan,A,03 Jun 2026 12:05:51 GMT,04 Jun 2026 17:00:00 GMT,Anthony Veder Rederijzaken B.V.,Netherlands,"30° 37' 8"" N","124° 44' 52"" E",1,"1 day, 3 hours"
Coral Acropora,Combined LNG and LPG Gas Carrier,Jiangdu,AVIC Dingheng Shipbuilding Company Limited,10526444,Live,Netherlands,1886,"LNG, -100'cbm",6685,Double Hull,PCIG,6288,DH0006,115.00,108.86,-,16.80,7.80,2.00,Mak Motoren GmbH & Company KG,Rotterdam,-,Anthony Veder Group N.V.,Netherlands,Anthony Veder Rederijzaken B.V.,Netherlands,Coral Acropora Shipping B.V.,Netherlands,-,-,-,-,9601730,245389000,9.80,2012,-,-,-,-,-,6000,8152,6M43,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,Bureau Veritas,-,-,2022-10-31T00:00:00,2025-08-12T00:00:00,2025-08-01T00:00:00,2022-10-31T00:00:00,2027-09-20T00:00:00,2027-09-20T00:00:00,Anthony Veder Rederijzaken B.V.,Netherlands,Anthony Veder Rederijzaken B.V.,Netherlands,CN YIZ,Yizheng Port,A,03 Jun 2026 12:10:50 GMT,04 Jun 2026 07:00:00 GMT,Anthony Veder Rederijzaken B.V.,Netherlands,"33° 27' 43"" N","124° 24' 16"" E",14,"1 month, 1 day"
Gaslog Shanghai,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,10528060,Live,Bermuda,30876,"LNG VLGC, 100'-200'cbm",82105,Double Hull,ZCEH4,98075,1946,285.12,274.00,43.40,43.40,11.50,14.50,Wartsila Corporation,Hamilton,-,China Development Bank (CDB),People's Republic of China,China Development Bank Financial Leasing Company Limited,People's Republic of China,CL Gas Three Limited,"Hong Kong, S.A.R., China",GasLog Partners LP,Monaco,-,-,9600528,310644000,26.00,2013,-,-,-,-,Wartsila Deutschland GmbH,11400,15288,12V50DF,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),American Bureau,-,-,2020-02-01T00:00:00,2020-02-01T00:00:00,2017-11-17T00:00:00,2017-11-17T00:00:00,2028-01-27T00:00:00,2028-01-27T00:00:00,Gaslog LNG Services Limited,Greece,Gaslog LNG Services Limited,Greece,FOR ORDERS,-,A,03 Jun 2026 11:19:08 GMT,01 Jun 2026 10:30:00 GMT,China Development Bank Financial Leasing Company Limited,People's Republic of China,"4° 44' 54"" N","79° 59' 54"" E",1,"1 day, 5 hours"
Gaslog Santiago,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,10528147,Live,Bermuda,30876,"LNG VLGC, 100'-200'cbm",82179,Double Hull,ZCEH5,98451,1947,285.12,274.00,43.40,43.40,11.50,14.50,Wartsila Corporation,Hamilton,-,China Development Bank (CDB),People's Republic of China,China Development Bank Financial Leasing Company Limited,People's Republic of China,Shenzhen Qianhai Shengli-IV Leasing Limited,People's Republic of China,GasLog Partners LP,Monaco,-,-,9600530,310652000,26.00,2013,-,-,-,-,Wartsila Deutschland GmbH,11400,15288,12V50DF,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),American Bureau,-,-,2018-05-09T00:00:00,-,2018-05-09T00:00:00,2018-05-09T00:00:00,2028-03-24T00:00:00,2028-03-24T00:00:00,Gaslog LNG Services Limited,Greece,Gaslog LNG Services Limited,Greece,PACIFIC,Dampier,A,03 Jun 2026 11:51:20 GMT,14 Jun 2026 00:01:00 GMT,China Development Bank Financial Leasing Company Limited,People's Republic of China,"2° 20' 47"" S","126° 35' 49"" E",4,"5 days, 2 hours"
Akebono Maru,Liquefied Natural Gas Carrier,Japan,Higaki Shipbuilding Company Limited,10604144,Live,Japan,-,"LNG, -100'cbm",2528,Double Hull,JD3204,4505,677,99.37,93.00,-,17.20,4.61,3.19,The Hanshin Diesel Works Limited,Tokyo,-,Chuo Kaiun K.K.,Japan,Chuo Kaiun K.K.,Japan,Chuo Kaiun K.K.,Japan,-,-,-,-,9554729,431003094,7.80,2011,-,-,-,-,Hanshin Nainenki Kogyo,2942,3945,LH46L,-,Nippon Kaiji Kyokai,-,-,2019-07-23T00:00:00,-,2019-07-23T00:00:00,-,2029-07-22T00:00:00,2029-07-22T00:00:00,NS United Coastal Tanker Kaisha Limited,Japan,NS United Coastal Tanker Kaisha Limited,Japan,>JP HKP SEC.6 OFF,-,A,03 Jun 2026 12:12:46 GMT,04 Jun 2026 09:00:00 GMT,Chuo Kaiun K.K.,Japan,"41° 46' 55"" N","140° 43' 23"" E",2,"8 days, 23 hours"
Asia Energy,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,10656273,Live,Bahamas,32639,"LNG VLGC, 100'-200'cbm",82487,Double Hull,C6AX4,101427,1921,285.00,274.00,-,43.40,11.50,14.50,Wartsila Corporation,Nassau,-,Chevron Corporation,United States of America,Chevron Transport Corporation Limited,United States of America,Chevron Transport Corporation Limited,United States of America,-,-,-,-,9606950,311000183,26.00,2014,-,-,-,-,-,21195,28422,12V50DF,NorthStandard,American Bureau,-,-,2019-09-24T00:00:00,-,2019-09-24T00:00:00,2019-09-24T00:00:00,2029-09-21T00:00:00,2029-09-21T00:00:00,Chevron Transport Corporation Limited,United States of America,Chevron Transport Corporation Limited,United States of America,"ZHOUSHAN,CHINA",-,A,03 Jun 2026 12:09:17 GMT,03 Jun 2026 02:00:00 GMT,Chevron Transport Corporation Limited,United States of America,"30° 6' 22"" N","122° 16' 51"" E",1,"1 day, 6 hours"
Asia Endeavour,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,10688578,Live,Bahamas,32639,"LNG VLGC, 100'-200'cbm",82435,Double Hull,C6AX6,101427,1942,285.00,274.00,44.00,43.40,11.50,14.90,Wartsila Corporation,Nassau,-,Chevron Corporation,United States of America,Chevron Transport Corporation Limited,United States of America,Chevron Transport Corporation Limited,United States of America,-,-,-,-,9610779,311000185,26.40,2015,-,-,-,-,-,21195,28422,12V50DF,NorthStandard,American Bureau,-,-,2018-03-24T00:00:00,-,-,-,2030-06-16T00:00:00,2030-06-16T00:00:00,Chevron Transport Corporation Limited,United States of America,Chevron Transport Corporation Limited,United States of America,SG SIN,Singapore,A,03 Jun 2026 12:04:57 GMT,06 Jun 2026 00:00:00 GMT,Chevron Transport Corporation Limited,United States of America,"13° 27' 20"" N","113° 39' 57"" E",1,"1 day, 14 hours"
Woodside Rogers,Liquefied Natural Gas Carrier,Okpo,Hanwha Ocean Company Limited,10996576,Live,Greece,31179,"LNG VLGC, 100'-200'cbm",90327,Double Hull,SVBS6,103928,2288,294.20,283.20,44.03,44.00,11.50,14.50,Wartsila Corporation,Piraeus,-,Maran Nakilat Company Limited,Cayman Islands,Maran Nakilat Company Limited,Cayman Islands,Margie Seaway Corporation,Greece,Woodside Energy Group Limited,Australia,-,-,9627485,241254000,26.00,2013,-,-,-,-,Wartsila Italia S.p.A.,21195,28422,9L50DF,NorthStandard,DNV,-,-,-,-,2018-04-26T00:00:00,-,2028-07-01T00:00:00,2028-07-01T00:00:00,Maran Gas Maritime Incorporated,Greece,Maran Gas Maritime Incorporated,Greece,FOR ORDERS,-,A,03 Jun 2026 12:10:46 GMT,11 Jun 2026 21:01:00 GMT,Maran Nakilat Company Limited,Cayman Islands,"16° 41' 10"" N","132° 15' 3"" E",7,"8 days, 8 hours"
Gaslog Sydney,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,10997134,Live,Bermuda,30876,"LNG VLGC, 100'-200'cbm",82010,Double Hull,ZCEJ8,98451,2016,285.12,274.00,43.40,43.40,11.50,14.50,Wartsila Corporation,Hamilton,-,China Development Bank (CDB),People's Republic of China,China Development Bank Financial Leasing Company Limited,People's Republic of China,Tianjin Shengli-II Leasing Limited,People's Republic of China,GasLog Partners LP,Monaco,-,-,9626273,310657000,26.00,2013,-,-,-,-,Wartsila SACM,21195,28422,12V50DF,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),American Bureau,-,-,2018-06-29T00:00:00,-,2018-06-29T00:00:00,2018-06-29T00:00:00,2028-05-29T00:00:00,2028-05-29T00:00:00,Gaslog LNG Services Limited,Greece,Gaslog LNG Services Limited,Greece,AUDAM,Dampier,A,03 Jun 2026 11:59:04 GMT,04 Jun 2026 16:01:00 GMT,China Development Bank Financial Leasing Company Limited,People's Republic of China,"18° 5' 48"" S","118° 10' 28"" E",4,5 days
Southern Cross,Liquefied Natural Gas Carrier,Shanghai,Hudong-Zhonghua Shipbuilding (Group) Company Limited,10997485,Live,"Hong Kong, S.A.R., China",34264,"LNG VLGC, 100'-200'cbm",96193,Double Hull,VRNU9,114166,H1671A,290.00,280.22,46.95,46.95,11.50,14.75,B&W Diesel A/S,Hong Kong,-,Mitsui O.S.K. Lines Limited (MOL),Japan,MOL (Europe Africa) Limited,United Kingdom,Aries LNG Shipping Limited,"Hong Kong, S.A.R., China",ExxonMobil Corporation,United States of America,-,-,9613147,477476100,26.25,2015,-,-,-,-,Mitsui Engineering & Shipbuilding Company Limited (Tamano),16000,21456,6S70ME-C8.2,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,American Bureau,China Classification,-,2020-08-05T00:00:00,-,2020-08-05T00:00:00,2020-08-05T00:00:00,-,-,MOL Global Ship Management Private Limited,Republic of Singapore,MOL Global Ship Management Private Limited,Republic of Singapore,-,-,A,03 Aug 2025 06:06:53 GMT,-,MOL (Europe Africa) Limited,United Kingdom,"5° 9' 3"" N","115° 17' 17"" E",1,"1 day, 7 hours"
Beidou Star,Liquefied Natural Gas Carrier,Shanghai,Hudong-Zhonghua Shipbuilding (Group) Company Limited,10997895,Live,"Hong Kong, S.A.R., China",34264,"LNG VLGC, 100'-200'cbm",96355,Double Hull,VROK7,114166,H1672A,290.00,280.22,46.95,46.95,11.50,14.75,B&W Diesel A/S,Hong Kong,-,Mitsui O.S.K. Lines Limited (MOL),Japan,MOL (Europe Africa) Limited,United Kingdom,Capricorn LNG Shipping Limited,"Hong Kong, S.A.R., China",ExxonMobil Corporation,United States of America,-,-,9613159,477314400,26.25,2015,-,-,-,-,Mitsui Engineering & Shipbuilding Company Limited (Tamano),16000,21456,6S70ME-C8.2,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,American Bureau,China Classification,-,2020-08-29T00:00:00,-,2020-08-31T00:00:00,2020-08-29T00:00:00,-,-,MOL Global Ship Management Private Limited,Republic of Singapore,MOL Global Ship Management Private Limited,Republic of Singapore,-,-,A,31 Jul 2025 08:23:57 GMT,-,MOL (Europe Africa) Limited,United Kingdom,"5° 9' 1"" N","115° 19' 50"" E",1,"1 day, 7 hours"
Gaslog Skagen,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,10998670,Live,Bermuda,30876,"LNG VLGC, 100'-200'cbm",81847,Double Hull,ZCEJ7,98451,2017,285.12,274.00,43.40,43.40,11.50,13.90,Wartsila Corporation,Hamilton,-,China Development Bank (CDB),People's Republic of China,China Development Bank Financial Leasing Company Limited,People's Republic of China,Tianjin Shengli-I Leasing Limited,People's Republic of China,GasLog Limited,Greece,-,-,9626285,310664000,26.00,2013,-,-,-,-,Wartsila SACM,11400,15288,12V50DF,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),American Bureau,-,-,2018-08-31T00:00:00,-,2018-08-31T00:00:00,2018-08-31T00:00:00,2028-07-24T00:00:00,2028-07-24T00:00:00,Gaslog LNG Services Limited,Greece,Gaslog LNG Services Limited,Greece,-,-,A,02 Jun 2026 13:05:25 GMT,-,China Development Bank Financial Leasing Company Limited,People's Republic of China,"25° 43' 55"" N","53° 18' 40"" E",2,"2 days, 11 hours"
Papua,Liquefied Natural Gas Carrier,Shanghai,Hudong-Zhonghua Shipbuilding (Group) Company Limited,10998719,Live,"Hong Kong, S.A.R., China",36106,"LNG VLGC, 100'-200'cbm",100030,Double Hull,VRNH4,114166,H1670A,290.00,280.22,46.95,46.95,11.50,14.75,B&W Diesel A/S,Hong Kong,-,Mitsui O.S.K. Lines Limited (MOL),Japan,MOL (Europe Africa) Limited,United Kingdom,Aquarius LNG Shipping Limited,"Hong Kong, S.A.R., China",ExxonMobil Corporation,United States of America,-,-,9613135,477518900,26.25,2015,-,-,-,-,Mitsui Engineering & Shipbuilding Company Limited,16000,21456,6S70ME-C8,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,American Bureau,China Classification,-,2019-12-17T00:00:00,-,2020-01-13T00:00:00,2019-12-17T00:00:00,2030-01-29T00:00:00,2030-01-29T00:00:00,MOL Global Ship Management Private Limited,Republic of Singapore,MOL Global Ship Management Private Limited,Republic of Singapore,PGPOM,Port Moresby,A,03 Jun 2026 11:41:26 GMT,04 Jun 2026 07:00:00 GMT,MOL (Europe Africa) Limited,United Kingdom,"9° 18' 13"" S","146° 49' 39"" E",3,4 days
Yari LNG,Liquefied Natural Gas Carrier,Goeje Is.,Hanwha Ocean Company Limited,11004343,Live,Malta,31165,"LNG VLGC, 100'-200'cbm",89803,Double Hull,9HA3424,103885,2401,294.20,283.20,-,44.00,11.50,14.10,Unknown Engine Designer,Valletta,-,China Merchants Bank (CMB),People's Republic of China,CMB Financial Leasing Company Limited,People's Republic of China,Sea 298 Leasing Company Limited,"Hong Kong, S.A.R., China",TMS Cardiff Gas Limited,Greece,-,-,9636747,229583000,26.00,2014,-,-,-,-,-,-,-,12V50DF,Assuranceforeningen Gard,American Bureau,-,-,2019-04-10T00:00:00,-,2019-10-15T00:00:00,2019-04-10T00:00:00,2029-11-04T00:00:00,2029-11-04T00:00:00,TMS Cardiff Gas Limited,Greece,TMS Cardiff Gas Limited,Greece,ATLANTIC OCEAN,-,A,03 Jun 2026 12:06:39 GMT,07 Jun 2026 05:01:00 GMT,CMB Financial Leasing Company Limited,People's Republic of China,"15° 47' 5"" N","76° 20' 57"" W",1,"1 day, 10 hours"
Corcovado LNG,Liquefied Natural Gas Carrier,Goeje Is.,Hanwha Ocean Company Limited,11004364,Live,Malta,31172,"LNG VLGC, 100'-200'cbm",89624,Double Hull,9HA3358,103905,2297,294.20,283.20,44.00,44.00,12.50,13.50,Unknown Engine Designer,Valletta,-,China Merchants Bank (CMB),People's Republic of China,CMB Financial Leasing Company Limited,People's Republic of China,Sea 297 Leasing Company Limited,"Hong Kong, S.A.R., China",TMS Cardiff Gas Limited,Greece,-,-,9636711,229471000,26.00,2014,-,-,-,-,-,-,-,12V50DF,Assuranceforeningen Gard,DNV,-,-,-,-,2019-02-27T00:00:00,-,2029-04-03T00:00:00,2029-04-03T00:00:00,TMS Cardiff Gas Limited,Greece,TMS Cardiff Gas Limited,Greece,FOR ORDERS,-,A,03 Jun 2026 12:08:41 GMT,07 Jun 2026 15:00:00 GMT,CMB Financial Leasing Company Limited,People's Republic of China,"20° 9' 52"" S","11° 17' 48"" E",1,"1 day, 6 hours"
Solaris,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,11004488,Live,Bermuda,30876,"LNG VLGC, 100'-200'cbm",81853,Double Hull,ZCEL5,98075,2042,285.12,274.00,-,43.40,11.50,13.90,Wartsila Corporation,Hamilton,-,GasLog Limited,Greece,GasLog Limited,Greece,Gas-Eight Limited,Bermuda,Shell International Trading & Shipping Company Limited (STASCO),United Kingdom,-,-,9634098,310679000,26.00,2014,-,-,-,-,-,21195,28422,12V50DF,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),American Bureau,-,-,2019-07-08T00:00:00,-,2019-07-08T00:00:00,2019-07-08T00:00:00,2029-06-29T00:00:00,2029-06-29T00:00:00,Gaslog LNG Services Limited,Greece,Gaslog LNG Services Limited,Greece,CNYPG,Yangpu Port,A,03 Jun 2026 11:59:05 GMT,05 Jun 2026 23:00:00 GMT,GasLog Limited,Greece,"16° 1' 15"" N","115° 52' 30"" E",2,"2 days, 12 hours"
Woodside Goode,Liquefied Natural Gas Carrier,Goeje Is.,Hanwha Ocean Company Limited,11004543,Live,Liberia,31179,"LNG VLGC, 100'-200'cbm",90125,Double Hull,5LYB8,103928,2295,294.20,283.20,44.03,44.00,11.50,14.50,Unknown Engine Designer,Monrovia,-,Maran Nakilat Company Limited,Cayman Islands,Maran Nakilat Company Limited,Cayman Islands,Armour Company Limited,Liberia,Woodside Energy Group Limited,Australia,-,-,9633161,636025567,26.00,2013,-,-,-,-,-,-,-,12V50DF,NorthStandard,DNV,-,-,-,-,2018-09-20T00:00:00,-,2028-10-31T00:00:00,2028-10-31T00:00:00,Maran Gas Maritime Incorporated,Greece,Maran Gas Maritime Incorporated,Greece,AU DAM,-,A,03 Jun 2026 12:07:14 GMT,03 Jun 2026 02:30:00 GMT,Maran Nakilat Company Limited,Cayman Islands,"20° 36' 17"" S","116° 45' 19"" E",3,"3 days, 17 hours"
Pacific Arcadia,Liquefied Natural Gas Carrier,Nagasaki,Mitsubishi Heavy Industries Limited Shipbuilding,11005556,Live,Bahamas,36901,"LNG VLGC, 100'-200'cbm",84878,Double Hull,C6ZY6,123005,2289,288.00,274.00,-,49.00,12.33,14.47,Mitsubishi Heavy Industries Limited,Nassau,-,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,Bahamas LNG Shipping Limited,Bahamas,Tokyo Electric Power Company Limited (TEPCO),Japan,-,-,9621077,311072200,26.80,2014,-,Alfa Laval Aalborg A/S,Unknown,Unknown,-,-,-,MR36-II,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,Lloyds Register,-,-,2024-07-31T00:00:00,-,2024-07-31T00:00:00,-,2029-10-27T00:00:00,2029-10-27T00:00:00,NYK LNG Shipmanagement Limited,Japan,NYK LNG Shipmanagement Limited,Japan,>JP YOK XX NGI,Yokohama,A,03 Jun 2026 12:09:40 GMT,06 Jun 2026 00:20:00 GMT,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,"30° 37' 29"" N","129° 32' 32"" E",1,"1 day, 3 hours"
Gaslog Saratoga,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,11026087,Live,Bermuda,30876,"LNG VLGC, 100'-200'cbm",81855,Double Hull,ZCEN3,98075,2043,285.12,274.00,-,43.40,11.50,13.90,Wartsila Corporation,Hamilton,-,China Development Bank (CDB),People's Republic of China,China Development Bank Financial Leasing Company Limited,People's Republic of China,Tianjin Shengli-III Leasing Limited,People's Republic of China,-,-,-,-,9638903,310696000,26.00,2014,-,-,-,-,-,11400,15288,12V50DF,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),American Bureau,-,-,2020-01-10T00:00:00,-,2020-01-10T00:00:00,2020-01-10T00:00:00,2029-12-15T00:00:00,2029-12-15T00:00:00,Gaslog LNG Services Limited,Greece,Gaslog LNG Services Limited,Greece,-,"Bintulu, Sarawak",A,03 Jun 2026 12:07:11 GMT,-,China Development Bank Financial Leasing Company Limited,People's Republic of China,"3° 29' 1"" N","112° 57' 58"" E",1,"1 day, 10 hours"
Gaslog Salem,Liquefied Natural Gas Carrier,Goeje Is.,Samsung Shipbuilding & Heavy Industries Company Limited,11026088,Live,Bermuda,30876,"LNG VLGC, 100'-200'cbm",82023,Double Hull,ZCEN7,98075,2044,285.12,274.00,-,43.40,11.50,14.50,Wartsila Corporation,Hamilton,-,China Development Bank (CDB),People's Republic of China,China Development Bank Financial Leasing Company Limited,People's Republic of China,CL Gas Ten Limited,"Hong Kong, S.A.R., China",GasLog Limited,Greece,-,-,9638915,310699000,26.00,2015,-,-,-,-,-,11400,15288,12V50DF,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),American Bureau,-,-,2020-03-27T00:00:00,-,2020-03-27T00:00:00,2020-03-27T00:00:00,2030-04-29T00:00:00,2030-04-29T00:00:00,Gaslog LNG Services Limited,Greece,Gaslog LNG Services Limited,Greece,FOR ORDERS,-,A,03 Jun 2026 12:05:37 GMT,08 Jun 2026 23:00:00 GMT,China Development Bank Financial Leasing Company Limited,People's Republic of China,"29° 32' 44"" S","14° 5' 21"" E",1,"1 day, 6 hours"
LNG Mars,Liquefied Natural Gas Carrier,Nagasaki,Mitsubishi Heavy Industries Limited Shipbuilding,11032868,Live,Japan,41013,"LNG VLGC, 100'-200'cbm",86161,Double Hull,7JRT,136710,2296,288.00,275.00,-,48.94,12.53,13.47,Mitsubishi Heavy Industries Limited,Osaka,-,Mitsui O.S.K. Lines Limited (MOL) & Osaka Gas International Transport Incorporated (OGIT),Japan,Mitsui O.S.K. Lines Limited (MOL) & Osaka Gas International Transport Incorporated (OGIT),Japan,Mitsui O.S.K. Lines Limited (MOL) & Osaka Gas International Transport Incorporated (OGIT),Japan,Osaka Gas Company Limited,Japan,-,-,9645748,431177000,26.00,2016,-,-,-,-,Mitsubishi Heavy Industries Limited,26000,34867,MS36-2A,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,Nippon Kaiji Kyokai,-,-,2019-08-30T00:00:00,-,2016-10-14T00:00:00,-,2026-10-13T00:00:00,2026-10-13T00:00:00,MOL LNG Transport Company Limited,Japan,MOL LNG Transport Company Limited,Japan,JP SBK,Sakai,A,03 Jun 2026 11:46:43 GMT,09 Jun 2026 22:00:00 GMT,Mitsui O.S.K. Lines Limited (MOL) & Osaka Gas International Transport Incorporated (OGIT),Japan,"19° 45' 2"" N","134° 11' 58"" E",1,"1 day, 6 hours"
Kool Baltic,Liquefied Natural Gas Carrier,Jinhae,K Shipbuilding Company Limited,11069386,Live,Liberia,34960,"LNG VLGC, 100'-200'cbm",93508,Double Hull,D5FW4,113876,1912,299.90,288.00,45.80,45.80,12.50,13.50,MAN Energy Solutions SE,Monrovia,-,Quantum Pacific Group,Monaco,Cool Company Limited (CoolCo),Bermuda,Pernli Marine Limited,Liberia,-,-,-,-,9654878,636016376,26.00,2015,-,"Permea Maritime Protection, Air Products N.V.",Unknown,Unknown,STX Engine Company Limited,-,-,8L51/60DF,Assuranceforeningen Gard,LR (provisional), (provisional), (provisional),2025-11-13T00:00:00,-,2025-11-22T00:00:00,-,2030-01-01T00:00:00,2030-01-01T00:00:00,Cool Company Management AS,Norway,Cool Company Management AS,Norway,FOR ORDERS,-,A,03 Jun 2026 11:45:17 GMT,07 Jun 2026 15:01:00 GMT,Cool Company Limited (CoolCo),Bermuda,"35° 8' 37"" N","160° 49' 44"" E",1,"1 day, 15 hours"
Maria Energy,Liquefied Natural Gas Carrier,Ulsan,HD Hyundai Heavy Industries Company Limited,11119968,Live,Liberia,37171,"LNG VLGC, 100'-200'cbm",93301,Double Hull,D5KZ6,113664,2612,289.98,284.00,-,46.40,11.60,8.51,Wartsila Corporation,Monrovia,-,Tsakos Group of Companies,Greece,Tsakos Shipping & Trading S.A.,Greece,Canyon Trading Corporation,Liberia,Cheniere Energy Incorporated,United States of America,-,-,9659725,636017445,20.11,2016,-,-,-,-,-,-,-,8L50DF,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,American Bureau,-,-,2019-09-06T00:00:00,-,-,-,2031-04-20T00:00:00,2031-04-20T00:00:00,HMM Ocean Service Company Limited,Republic of Korea,HMM Ocean Service Company Limited,Republic of Korea,JPSDU,"Sendai, Miyagi",A,03 Jun 2026 11:54:00 GMT,11 Jun 2026 06:00:00 GMT,Tsakos Shipping & Trading S.A.,Greece,"53° 47' 60"" N","150° 9' 6"" W",3,"4 days, 2 hours"
Amani,Liquefied Natural Gas Carrier,Ulsan,HD Hyundai Heavy Industries Company Limited,11132358,Live,Brunei,34068,"LNG VLGC, 100'-200'cbm",85466,Double Hull,V8V3146,102585,2606,288.00,275.80,-,44.20,12.50,13.50,Wartsila Corporation,Muara,-,Brunei Gas Carriers Sendirian Berhad (BGC),Brunei Darussalam,Brunei Gas Carriers Sendirian Berhad (BGC),Brunei Darussalam,BGC Three NBD Sendirian Berhad,Brunei Darussalam,-,-,-,-,9661869,508111181,26.00,2014,-,-,-,-,-,21195,28422,12V50DF,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,Lloyds Register,-,-,2024-08-25T00:00:00,-,2024-09-08T00:00:00,2019-09-24T00:00:00,2029-11-12T00:00:00,2029-11-12T00:00:00,Brunei Gas Carriers Sendirian Berhad (BGC),Brunei Darussalam,Brunei Gas Carriers Sendirian Berhad (BGC),Brunei Darussalam,BN LUM,Lumut,A,03 Jun 2026 12:10:37 GMT,09 Jun 2026 22:30:00 GMT,Brunei Gas Carriers Sendirian Berhad (BGC),Brunei Darussalam,"38° 28' 42"" N","119° 31' 47"" E",4,"5 days, 6 hours"
