LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
passenger (cruise),356142,A'rosa Mia,Live,Germany,—,2003,2'-10'gt,260,Single,—,3600,-,Neptun Werft GmbH,Rostock,124.50,—,—,14.40,—,—,—,—,Unknown Engine Designer,Arkona AG,Germany,—,—,Arkona AG,Germany,Arkona AG,Germany,A-ROSA Flussschiff GmbH,Germany,Arkona AG,Germany,—,—,—,—,—,—,—,—,—,—,8979283,—,1825,2447,6M25
passenger (cruise),356143,A'rosa Riva,Live,Germany,—,2004,2'-10'gt,260,Single,—,3600,-,Neptun Werft GmbH,Rostock,124.50,—,—,14.40,—,—,—,—,Unknown Engine Designer,Arkona AG,Germany,—,—,Arkona AG,Germany,Arkona AG,Germany,A-ROSA Flussschiff GmbH,Germany,Arkona AG,Germany,—,—,—,—,—,—,—,—,—,—,8979295,—,1825,2447,6M25
passenger (cruise),356184,Suomenlinna II,Live,Finland,127,2004,-2'gt,381,Single,OJLE,329,ns301,Stocznia Marynarki Wojennej Shipbuilding,Gdynia,33.80,31.22,—,8.50,—,3.20,—,Volvo Penta AB,Volvo Penta AB,Suomenlinnan Liikenne OY,Finland,—,—,Suomenlinnan Liikenne OY,Finland,Suomenlinnan Liikenne OY,Finland,Suomenlinnan Liikenne OY,Finland,Suomenlinnan Liikenne OY,Finland,—,—,—,—,—,—,—,—,—,—,9315408,230985490,365,489,TAMD165A
passenger (cruise),356221,Sonesta Sun Goddess,Live,Egypt,—,1993,-2'gt,—,Single,—,985,521,Arab Contractors Marine Workshops,Helwan,—,—,—,13.80,3.75,—,—,Volvo Penta AB,Volvo Penta AB,Sakkara Hotels Company,Arab Republic of Egypt,Cairo,—,Sakkara Hotels Company,Arab Republic of Egypt,Sakkara Hotels Company,Arab Republic of Egypt,Sakkara Hotels Company,Arab Republic of Egypt,Sakkara Hotels Company,Arab Republic of Egypt,—,—,—,—,—,—,—,—,—,—,—,—,283,380,TAMD122A
passenger (cruise),356303,Opal,Live,Egypt,—,1994,-2'gt,—,Single,—,240,907,Egyptian Shiprepairs & Building Company,Alexandria(EGY),60.00,—,—,9.50,1.60,—,—,Cummins Incorporated,Cummins Incorporated,Egyptian Italian Company for Hotels & Touristic Establishments S.A.E.,Arab Republic of Egypt,Cairo,—,Egyptian Italian Company for Hotels & Touristic Establishments S.A.E.,Arab Republic of Egypt,Egyptian Italian Company for Hotels & Touristic Establishments S.A.E.,Arab Republic of Egypt,Egyptian Italian Company for Hotels & Touristic Establishments S.A.E.,Arab Republic of Egypt,Egyptian Italian Company for Hotels & Touristic Establishments S.A.E.,Arab Republic of Egypt,—,—,—,—,—,—,—,—,—,—,—,—,224,300,NT-855-M
passenger (cruise),356304,Turquoise,Live,Egypt,—,1994,-2'gt,—,Single,—,240,473,Canal Naval Constructions Company,Port Said,60.00,—,—,9.50,1.60,—,—,Cummins Incorporated,Cummins Incorporated,Egyptian Italian Company for Hotels & Touristic Establishments S.A.E.,Arab Republic of Egypt,Cairo,—,Egyptian Italian Company for Hotels & Touristic Establishments S.A.E.,Arab Republic of Egypt,Egyptian Italian Company for Hotels & Touristic Establishments S.A.E.,Arab Republic of Egypt,Egyptian Italian Company for Hotels & Touristic Establishments S.A.E.,Arab Republic of Egypt,Egyptian Italian Company for Hotels & Touristic Establishments S.A.E.,Arab Republic of Egypt,—,—,—,—,—,—,—,—,—,—,—,—,224,300,NT-855-M
passenger (cruise),356561,Ramona,Live,Egypt,—,1992,-2'gt,—,Single,—,416,817,United Engineers for Shipbuilding and Metallic Works Company,Giza,—,—,—,9.50,3.50,—,—,Caterpillar Incorporated,Unknown Engine Designer,Riad Floating Hotels,Arab Republic of Egypt,Cairo,—,Riad Floating Hotels,Arab Republic of Egypt,Riad Floating Hotels,Arab Republic of Egypt,Riad Floating Hotels,Arab Republic of Egypt,Riad Floating Hotels,Arab Republic of Egypt,—,—,—,—,—,—,—,—,—,—,—,—,187,251,NT-855-M
passenger (cruise),356779,Guan Zhong 3,Live,China,—,1950,Unknown size,—,Single,—,,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,Unknown Owners,—,—,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,UNKNOWN
passenger (cruise),356837,Wilderness Adventurer,Live,U.S.A.,60,1983,-2'gt,—,Single,WDF6885,369,LB-250,Blount Marine Corporation,Warren(USA),39.88,39.88,—,10.52,2.95,—,—,—,Unknown Engine Designer,Innersea Discoveries LLC,United States of America,Falling Waters,—,Innersea Discoveries LLC,United States of America,Innersea Discoveries LLC,United States of America,Innersea Discoveries LLC,United States of America,Innersea Discoveries LLC,United States of America,—,—,—,—,—,—,—,—,—,—,8978667,367478830,—,—,3306PCTA
passenger (cruise),356898,River Empress,Live,Switzerland,—,2002,-2'gt,—,Single,—,403,—,—,"",110.00,—,11.40,—,—,1.20,—,—,Unknown Engine Designer,Uniworld River Cruises Incorporated,United States of America,—,—,Uniworld River Cruises Incorporated,United States of America,Uniworld River Cruises Incorporated,United States of America,River Empress GmbH,Germany,Uniworld River Cruises Incorporated,United States of America,—,—,—,—,—,—,—,—,—,—,8338207,—,—,—,4BT3.9
