LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
Roll On Roll Off,240613,Stryn,Live,Norway,298,1979,-5'dwt,530,Single,LIID,996,14,Nordfjord Skipsindustri AS,Nordfjordeid,83.30,—,15.20,15.00,4.20,2.90,1.30,Wartsila Norway AS,Wartsila Norway AS,Fjord1 AS,Norway,—,—,Fjord1 Topco AS,Norway,Fjord1 AS,Norway,Fjord1 AS,Norway,Fjord1 AS,Norway,—,—,—,—,Fjord1 AS,Norway,—,—,—,—,7804998,257387400,969,1300,4AXA
roll on roll off with container capacity,240622,Repubblica di Roma,Dead,Sierra Leone,10545,1992,15'+ dwt,19287,Single,—,42001,5913,Fincantieri-Cantieri Navali Italiani S.p.A. Castellammare di Stabia,Castellammare di Stabia,216.12,197.02,30.40,30.40,19.50,9.30,10.20,Fincantieri-Cantieri Navali Italiani S.p.A.,Sulzer Turbomachinery Services,Grimaldi C.,—,Freetown,890,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,9009504,—,12886,17280,8RTA58
Roll On Roll Off,24076,Helios 1,Dead,Panama,3640,1971,5'-10'dwt,8690,Single,—,6246,—,—,Japan,148.00,—,22.50,—,10.30,8.40,1.90,—,Unknown Engine Designer,—,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7123344,—,7979,10700,UNKNOWN
roll on roll off with container capacity,241016,Link Nova,Live,Norway (Int. Register),1986,1992,5'-10'dwt,5387,Double Bottom,LAWA8,6620,306,Brodogradiliste Sava Shipbuilding,Mitrovica,122.00,112.00,19.00,19.00,12.40,6.36,6.04,Wartsila Finland oy,MAN Diesel AS,Rederiaktiebolaget Eckero (Rederi AB Eckero),Finland,Akrehamn,142,Rederiaktiebolaget Eckero (Rederi AB Eckero),Finland,Rederiaktiebolaget Eckero (Rederi AB Eckero),Finland,Eckero Shipping AB Limited,Aland Islands,Rederiaktiebolaget Eckero (Rederi AB Eckero),Finland,Eckero Line AB Oy,Aland Islands,—,—,Rederiaktiebolaget Eckero (Rederi AB Eckero),Finland,—,—,—,—,8911748,257588000,4562,6118,16V32
roll on roll off with container capacity,241051,Dalka,Live,Chile,3560,1992,5'-10'dwt,7000,Double Bottom,CA7878,11866,R-70/4,Dalian Shipyard Industrial Development General Corporation,China,147.40,137.10,21.03,21.00,12.50,5.33,7.17,Fried. Krupp AG Hoesch-Krupp,Mak Motoren GmbH & Company KG,Navimag Ferries S.A.,Chile,Valparaiso,514,Nisa Navegacion S.A.,Chile,Navimag Ferries S.A.,Chile,Navimag Carga S.A.,Chile,Navimag Ferries S.A.,Chile,CLdN ro-ro S.A.,Luxembourg,—,—,Navimag Ferries S.A.,Chile,—,—,—,—,9007764,725003291,2685,3600,8M453
Roll On Roll Off,24124,Halley,Dead,Panama,467,1961,-5'dwt,1775,Single,—,1337,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5037735,—,1566,2100,UNKNOWN
roll on roll off with container capacity,241375,Ufo,Dead,Palau,4275,1992,-5'dwt,4123,Single,T8A3126,14250,995,Evergreen Heavy Industry Company,Nagasaki,145.61,132.00,22.00,22.00,14.00,6.26,7.74,Diesel United Limited,Semt Pielstick SA,Unknown Breakers,—,—,163,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,9045895,—,13240,8100,12PC2-6V-400
Roll On Roll Off,241452,Marina Quinta,Live,Indonesia,262,1992,-5'dwt,150,Single,POZA,871,1053,NKK Shipbuilding (Nippon Kokan K.K),Tsurumi,45.00,42.91,16.00,16.00,5.00,2.91,2.09,Yanmar Diesel Engine Company Limited,Yanmar Diesel Engine Company Limited,P.T Jembatan Nusantara,Indonesia,Semarang,—,P.T Jembatan Nusantara,Indonesia,P.T Jembatan Nusantara,Indonesia,P.T Jembatan Nusantara,Indonesia,P.T Jembatan Nusantara,Indonesia,—,—,—,—,P.T Jembatan Nusantara,Indonesia,—,—,—,—,9034676,525002128,761,1200,M220-EN
Roll On Roll Off,241606,Vikingen,Live,Norway,844,1992,-5'dwt,100,Single,LEVF,2631,45,Slipen Mek Verksted Shipbuilder A/S,Sandnessjoen,84.00,—,15.50,15.00,5.00,3.40,1.60,Wartsila Norway AS,Wartsila Norway AS,Norled AS,Norway,Bergen,—,Nanoq Newco AS,Norway,Norled AS,Norway,Norled AS,Norway,Norled AS,Norway,—,—,—,—,Norled AS,Norway,—,—,—,—,9036038,257029700,2432,3261,8V28B
roll on roll off with container capacity,241655,Bir Shrestha Jahangir,Live,Bangladesh,294,1992,-5'dwt,300,Single,—,981,440,Dockyard & Engineering Works Limited,Narayanganj,60.00,—,12.50,12.19,2.90,1.50,1.40,Alpha Diesels A/S,Alpha Diesels A/S,Bangladesh Inland Water Transport Corporation,Bangladesh,—,—,Government of The People's Republic of Bangladesh,Bangladesh,Bangladesh Inland Water Transport Corporation,Bangladesh,Bangladesh Inland Water Transport Corporation,Bangladesh,Bangladesh Inland Water Transport Corporation,Bangladesh,—,—,—,—,—,—,—,—,—,—,9006095,—,410,550,405-26VO
roll on roll off with container capacity,241753,Karpaty,Live,Russia,592,1993,-5'dwt,1712,Single,UIEE,1528,821,Damen Shipyards Galatz S.A.,Romania,72.50,65.60,13.00,13.00,4.40,3.76,0.64,SKL Motoren-und Systemtechnik GmbH,SKL Motoren-und Systemtechnik GmbH,Kamchatka-Gold Company Limited,Russian Federation,Petropavlovsk-Kamchatskiy,65,Kamchatka-Gold Company Limited,Russian Federation,Kamchatka-Gold Company Limited,Russian Federation,Kamchatka-Gold Company Limited,Russian Federation,Kamchatka-Gold Company Limited,Russian Federation,—,—,—,—,Kamchatka-Gold Company Limited,Russian Federation,—,—,—,—,9037082,273417800,649,870,6NVDS48A-2U
Roll On Roll Off,24257,Goliath,Dead,Philippines,749,1964,-5'dwt,2826,Single,—,1593,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6410207,—,447,600,UNKNOWN
roll on roll off with container capacity,24315,Harp,Dead,U.K.,874,1973,-5'dwt,1875,Single,—,1594,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7303061,—,—,—,UNKNOWN
Roll On Roll Off,243671,Hardinge,Live,St. Vincent & Grenadines,844,1992,-5'dwt,100,Single,J8B6507,2631,46,Slipen Mek Verksted Shipbuilder A/S,Sandnessjoen,84.00,—,15.50,15.00,5.00,3.40,1.60,Wartsila Norway AS,Wartsila Norway AS,Unknown Owners,—,Kingstown,—,Unknown Owners,—,Unknown Owners,—,Euphoria Trading Incorporated,Marshall Islands,Redwise Maritime Services B.V.,Netherlands,—,—,—,—,Redwise Maritime Services B.V.,Netherlands,—,—,—,—,9036040,377046000,2432,3261,8V28B
roll on roll off with container capacity,24430,Maunawili,Dead,U.S.A.,13859,1944,15'+ dwt,17833,Single,—,17807,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5224821,—,—,—,UNKNOWN
roll on roll off with container capacity,24434,Maunalei,Dead,U.S.A.,13568,1944,15'+ dwt,17827,Single,—,17504,—,—,U.S.A.,—,—,21.80,—,15.90,10.00,5.90,—,Unknown Engine Designer,—,—,—,966,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5224792,—,—,—,UNKNOWN
Roll On Roll Off,24436,Iniochos Express II,Dead,Greece,774,1967,-5'dwt,2610,Single,—,2698,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6727325,—,2983,4000,UNKNOWN
Roll On Roll Off,245,Nusa Bahagia,Live,Indonesia,1066,1972,-5'dwt,1810,Single,YEUN,3555,583,Scheepswerf & Machinefabriek Biesbosch-Dordrecht B.V.,Dordrecht,98.00,87.15,15.70,15.70,3.90,3.25,0.65,Deutz MWM AG,Deutz MWM AG,P.T. Putera Master Sarana Penyeberangan Lines,Indonesia,Jakarta,—,P.T. Putera Master Sarana Penyeberangan Lines,Indonesia,P.T. Putera Master Sarana Penyeberangan Lines,Indonesia,P.T. Putera Master Sarana Penyeberangan Lines,Indonesia,P.T. Putera Master Sarana Penyeberangan Lines,Indonesia,—,—,—,—,P.T. Putera Master Sarana Penyeberangan Lines,Indonesia,—,—,—,—,7206859,525017088,2013,2700,TBD501-8U
roll on roll off with container capacity,245065,Tropic Sun,Live,St. Vincent & Grenadines,1961,1993,5'-10'dwt,8200,Single,J8AZ2,6536,BO 320,Singapore Technologies Shipbuilding & Engineering Limited,Singapore,121.62,109.74,22.00,22.00,9.61,6.20,3.41,Fried. Krupp AG Hoesch-Krupp,Mak Motoren GmbH & Company KG,Tropical Shipping & Construction Company Limited LLC,United States of America,Kingstown,392,SaltChuk Resources Incorporated,United States of America,Tropical Shipping & Construction Company Limited LLC,United States of America,Tropical Shipping & Construction Company Limited LLC,United States of America,Tropical Shipping & Construction Company Limited LLC,United States of America,—,—,—,—,Tropical Shipping & Construction Company Limited LLC,United States of America,—,—,—,—,9039016,375902000,3300,4484,9M453C
