LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
roll on roll off with container capacity,100003,Tropic Isle,Live,Honduras,233,1977,-5'dwt,861,Single,HQXH2,775,482,IHI Ship & Chemical Plant Company Limited - SEE NOW AS JAPAN MARINE UNITED CORPORATION (JMU),Tokyo,71.60,68.58,14.63,14.53,4.27,3.66,0.68,General Motors Corporation,General Motors Corporation,Global Marine LLC,American Virgin Islands,Roatan Is.,62,Global Marine LLC,American Virgin Islands,Global Marine LLC,American Virgin Islands,Global Marine LLC,American Virgin Islands,Global Marine LLC,American Virgin Islands,—,—,—,—,—,—,—,—,—,—,7616638,334827000,718,1950,8-645-E6
Roll On Roll Off,100111,Grigoroussa,Dead,Panama,1931,1945,-5'dwt,1056,Single,—,2740,—,—,U.S.A.,99.00,—,15.20,—,7.70,—,—,—,Unknown Engine Designer,—,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7646504,—,671,900,UNKNOWN
Roll On Roll Off,100177,Theoskepasti,Dead,Greece,1386,1962,-5'dwt,986,Single,—,3749,—,—,Finland,98.00,—,18.60,—,7.00,4.60,2.40,—,Unknown Engine Designer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5255351,—,2461,3300,UNKNOWN
Roll On Roll Off,10024215,Ilshin Princess Royal,Live,South Korea,—,2010,5'-10'dwt,8028,Single,—,5591,SB511,Dae Sun Shipbuilding & Engineering Company Limited,Busan,120.00,111.00,—,26.00,12.75,6.01,6.74,STX Engine Company Limited,Alpha Diesels A/S,Ilshin Logistics Company Limited,Republic of Korea,Pohang,—,Ilshin Enterprise Company,Republic of Korea,Ilshin Logistics Company Limited,Republic of Korea,Ilshin Merchant Marine Company Limited,Republic of Korea,Ilshin Marine Transport Company Limited,Republic of Korea,—,—,—,—,Ilshin Marine Transport Company Limited,Republic of Korea,—,—,—,—,9496862,440146980,5200,3535,6L28/32
roll on roll off with container capacity,10025,Anna Marine,Dead,Moldova,3864,1975,-5'dwt,4377,Single,—,12879,756,J.J. Sietas Shipbuilding GmbH & Company KG,Hamburg,156.49,144.20,19.42,19.00,12.00,5.30,6.70,Deutz AG,Deutz AG,Northern M.M.,—,Giurgiulesti,52,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7361582,—,4474,6000,SBV12M540
roll on roll off with container capacity,100261,FESCO Gavriil,Dead,Marshall Islands,2540,1976,-5'dwt,4600,Single,—,8467,823,Severney Verf Shipbuilding (Northern Shipyard),St. Petersburg,139.63,127.70,19.24,19.20,13.10,6.62,6.48,Bryansk Engineering Work,B&W Diesel A/S,Fesco W.,—,Majuro,253,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7642493,—,4549,6100,5K62EF
Roll On Roll Off,10036156,Vanuatu Islander,Live,Vanuatu,343,2009,-5'dwt,1499,Single,YJS7404,1142,2647/BA,P.T. Dok & Perkapalan Kodja Bahari,Jakarta,64.00,59.20,14.00,14.00,4.50,3.00,1.51,Caterpillar Incorporated,Caterpillar Incorporated,Vanuatu Ferry Limited,Vanuatu,Port Vila,—,Vanuatu Ferry Limited,Vanuatu,Vanuatu Ferry Limited,Vanuatu,Vanuatu Ferry Limited,Vanuatu,Vanuatu Ferry Limited,Vanuatu,—,—,—,—,—,—,—,—,—,—,9553268,576028000,553,750,3412D
roll on roll off with container capacity,100446,Santa Rita,Live,Mexico,1683,1977,-5'dwt,2700,Single,—,5610,237,ACH - Construction Navale,Le Havre,109.77,98.82,17.50,17.50,11.10,5.25,5.85,Mak Motoren GmbH & Company KG,Mak Motoren GmbH & Company KG,Transportacion Maritima de California S.A. de C.V.,Mexico,La Paz,130,Transportacion Maritima de California S.A. de C.V.,Mexico,Transportacion Maritima de California S.A. de C.V.,Mexico,Transportacion Maritima de California S.A. de C.V.,Mexico,Transportacion Maritima de California S.A. de C.V.,Mexico,—,—,—,—,—,—,—,—,—,—,7500712,—,2461,3300,9M453AK
Roll On Roll Off,10044687,Marjan-E-Kish 1,Live,Iran,748,2010,-5'dwt,2859,Single,EPAI2,1904,852,Shahid Darvishi Marine Industries,Bandar Abbas,80.00,76.70,—,17.50,4.75,3.25,1.50,—,Unknown Engine Designer,Jonoub Trading group of companies,Iran,Bandar Abbas,—,Jonoub Trading group of companies,Iran,Jonoub Trading group of companies,Iran,Jonoub Trading group of companies,Iran,Jonoub Trading group of companies,Iran,—,—,—,—,—,—,—,—,—,—,9561045,422891000,—,—,6MG34HX
Roll On Roll Off,100471,Rio Campo,Live,Panama,517,1970,-5'dwt,1040,Single,HP9440,1723,112,Astilleros Construcciones S.A.,Vigo,76.51,70.01,11.82,11.82,7.22,3.76,3.46,Deutz MWM AG,Deutz MWM AG,Melmar Navigation Company S.A.,Equatorial Guinea,Panama,—,Melmar Navigation Company S.A.,Equatorial Guinea,Melmar Navigation Company S.A.,Equatorial Guinea,Melmar Navigation Company S.A.,Equatorial Guinea,Melmar Navigation Company S.A.,Equatorial Guinea,—,—,—,—,—,—,—,—,—,—,7023427,357027000,1790,2400,TBD500-6
Roll On Roll Off,10048290,Meraj 2,Live,Iran,163,2009,-5'dwt,1000,Single,EPAC9,495,18604,Abadan Kashti Nooh,Abadan,49.90,42.00,14.50,—,3.40,1.00,2.40,Yanmar Diesel Engine Company Limited,Yanmar Diesel Engine Company Limited,Medhi Bahraini,Iran,Bandar Imam Khomeini,—,Medhi Bahraini,Iran,Medhi Bahraini,Iran,Medhi Bahraini,Iran,Medhi Bahraini,Iran,—,—,—,—,—,—,—,—,—,—,9565156,422865000,518,704,6AYM-ETE
Roll On Roll Off,10048352,SPA-005,Live,Russia,48,1988,-5'dwt,167,Single,UGFP,162,823,—,"",35.82,33.63,7.20,—,2.40,1.85,0.55,—,Russkiy Diesel Firm,Anadyr Marine Port Joint-Stock Company,Russian Federation,Anadyr,—,Anadyr Marine Port Joint-Stock Company,Russian Federation,Anadyr Marine Port Joint-Stock Company,Russian Federation,Anadyr Marine Port Joint-Stock Company,Russian Federation,Anadyr Marine Port Joint-Stock Company,Russian Federation,—,—,—,—,—,—,—,—,—,—,8726325,—,1220,1636,6CHNSP18/22-300
Roll On Roll Off,10049869,Nabavi 2,Live,Iran,163,2009,-5'dwt,1000,Single,EPAC5,495,18602,Abadan Kashti Nooh,Abadan,49.90,42.00,14.50,—,3.40,1.00,2.40,Yanmar Diesel Engine Company Limited,Unknown Engine Designer,M. Nabavi,Iran,Bandar Imam Khomeini,—,M. Nabavi,Iran,M. Nabavi,Iran,M. Nabavi,Iran,M. Nabavi,Iran,—,—,—,—,—,—,—,—,—,—,9565144,422863000,829,1127,6AYM-ETE
Roll On Roll Off,100547,Taurus,Live,Bolivia,589,1974,-5'dwt,1283,Single,CPB2850,1961,101,Naval Gijon S.A.,Gijon,75.00,68.03,13.00,13.00,8.79,4.27,4.52,Deutz MWM AG,Deutz MWM AG,E O da Silva Comercio e Exportacao-Eireli,Brazil,La Paz,—,E O da Silva Comercio e Exportacao-Eireli,Brazil,E O da Silva Comercio e Exportacao-Eireli,Brazil,E O da Silva Comercio e Exportacao-Eireli,Brazil,E O da Silva Comercio e Exportacao-Eireli,Brazil,—,—,—,—,—,—,—,—,—,—,7334125,720733000,1790,2400,TBD500-8
Roll On Roll Off,100550,Martin Posadillo,Live,Spain,341,1973,-5'dwt,1283,Single,EBQJ,1923,100,Naval Gijon S.A.,Gijon,75.00,68.03,13.00,13.00,8.79,4.27,4.52,Deutz MWM AG,Deutz MWM AG,Naviera Mallorquina S.A.,Spain,—,—,Compania Trasmediterranea S.A.,Spain,Naviera Mallorquina S.A.,Spain,Naviera Mallorquina S.A.,Spain,Naviera Mallorquina S.A.,Spain,—,—,—,—,—,—,—,—,—,—,7332361,224066000,1790,2400,RHS345AU
roll on roll off with container capacity,100564,Royal Progress,Live,Philippines,596,1973,-5'dwt,1800,Single,—,1987,20,Ejnar S.Nielsen Mek. Verksted AS,Harstad,74.00,69.37,12.63,12.63,9.71,4.16,5.55,Wartsila Norway AS,Wartsila Norway AS,Royal Cargo Agencies Incorporated,Philippines,—,28,Royal Cargo Agencies Incorporated,Philippines,Royal Cargo Agencies Incorporated,Philippines,Royal Cargo Agencies Incorporated,Philippines,Royal Cargo Agencies Incorporated,Philippines,—,—,—,—,—,—,—,—,—,—,7310210,—,932,1250,5AXA
roll on roll off with container capacity,100626,Cape Ray,Live,U.S.A.,9370,1977,15'+ dwt,23197,Single,KAFI,31236,1258,Kawasaki Heavy Industries Limited Shipbuilding Division,Kobe,197.50,180.00,32.30,32.20,19.97,10.03,9.94,Kawasaki Shipbuilding Corporation,MAN Energy Solutions SE,Department of Transportation - Maritime Administration (MARAD),United States of America,Norfolk,1315,Government of The United States of America,United States of America,Department of Transportation - Maritime Administration (MARAD),United States of America,Department of Transportation - Maritime Administration (MARAD),United States of America,Keystone Shipping Company,United States of America,—,—,—,—,Keystone Shipping Company,United States of America,—,—,—,—,7530810,366841000,10440,14000,14V52/55A
Roll On Roll Off,10065775,Sultan 114,Live,United Arab Emirates,—,1985,-5'dwt,400,Single,A6E2171,606,228,Mickon Shipbuilders Private Limited,Singapore,51.10,—,—,12.80,2.90,2.30,0.60,—,Caterpillar Incorporated,Adso LLC,United Arab Emirates,Abu Dhabi,—,Adso LLC,United Arab Emirates,Adso LLC,United Arab Emirates,Adso LLC,United Arab Emirates,Adso LLC,United Arab Emirates,—,—,—,—,—,—,—,—,—,—,8218146,470996000,546,732,D3408TA
Roll On Roll Off,10094595,Ilshin Polaris Royal,Live,South Korea,3746,2011,5'-10'dwt,9194,Single,D9QY,12487,H2379,HD Hyundai Heavy Industries Company Limited,Ulsan,142.00,132.70,—,26.60,12.25,5.01,7.24,HD Hyundai Heavy Industries Company Limited,HD Hyundai Heavy Industries Company Limited,Ilshin Logistics Company Limited,Republic of Korea,Jeju,—,Ilshin Enterprise Company,Republic of Korea,Ilshin Logistics Company Limited,Republic of Korea,Ilshin Marine Logistics Services Company Limited,Republic of Korea,Ilshin Marine Transport Company Limited,Republic of Korea,—,—,—,—,Ilshin Marine Transport Company Limited,Republic of Korea,—,—,—,—,9573098,440157000,5200,6973,9H25/33
Roll On Roll Off,101000,Kasa,Live,Tanzania,257,1977,-5'dwt,605,Single,5ITH,477,SA2012,Phoenix Shipbuilders Limited,Hull,51.00,—,12.80,—,2.80,2.00,0.80,Kelvin Diesels PLC,Kelvin Diesels PLC,Niels Henriksen,Denmark,—,—,Niels Henriksen,Denmark,Niels Henriksen,Denmark,Niels Henriksen,Denmark,Niels Henriksen,Denmark,—,—,—,—,—,—,—,—,—,—,7620512,—,309,415,TASC8
Roll On Roll Off,101111,Neptune Barcelona,Dead,Malta,4133,1975,-5'dwt,4119,Single,—,5274,—,—,Japan,97.00,89.95,16.64,16.64,7.05,6.24,0.81,ITO Engineering Company Limited,ITO Engineering Company Limited,Neptune,—,Valletta,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7370131,—,3729,5000,M556HUS
roll on roll off with container capacity,101251,Aydemir Boztepe,Dead,Moldova,3566,1978,5'-10'dwt,5222,Double Bottom,—,4994,245,Astilleros Construcciones S.A.,Vigo,111.00,90.10,16.52,16.50,11.00,5.99,5.01,Astilleros Espanoles S.A. (AESA),Deutz MWM AG,Turkish Breakers,—,Giurgiulesti,147,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7511905,—,4176,5600,TBD511-12V
Roll On Roll Off,101404,African Storm,Live,Panama,934,1977,-5'dwt,2015,Single,—,2934,146,Martin Jansen GmbH & Company KG Schiffswerft und Maschinenfabrik,Leer,93.45,83.52,16.00,16.00,7.30,4.46,2.84,Deutz AG,Deutz AG,Strategic Sea Lift Transporter Incorporated,Panama,Panama,—,Strategic Sea Lift Transporter Incorporated,Panama,Strategic Sea Lift Transporter Incorporated,Panama,Strategic Sea Lift Transporter Incorporated,Panama,Vortex Offshore DMCEST,United Arab Emirates,—,—,—,—,Vortex Offshore DMCEST,United Arab Emirates,—,—,—,—,7607649,—,1312,1760,RBV8M545
Roll On Roll Off,101407,Al Salmy 1,Dead,Comoros,1133,1977,-5'dwt,3384,Single,—,3429,1516,Niigata Shipbuilding & Repair Incorporated,Niigata,123.00,113.00,18.50,18.50,13.50,6.15,7.35,Niigata Shipbuilding & Repair Incorporated,Semt Pielstick SA,Indian Breakers,—,Moroni,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7533173,—,5586,7491,12PC2-5V-400
roll on roll off with container capacity,101500,Jolly Grigio,Dead,Italy,7449,1977,10'-15'dwt,10665,Single,—,22945,1264,Kawasaki Heavy Industries Limited Shipbuilding Division,Kobe,142.90,134.50,32.20,32.20,10.00,9.02,0.98,Kawasaki Shipbuilding Corporation,MAN Energy Solutions SE,Indian Breakers,—,Naples,1015,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7616353,—,6935,9300,K6Z70/120EK
Roll On Roll Off,10150082,Sirena,Dead,Madeira,239,2009,-5'dwt,500,Single,—,797,055/JMI,P.T. Jasa Marina Indah,Semarang,55.00,47.25,—,13.50,4.00,2.50,1.50,Caterpillar Incorporated,Caterpillar Incorporated,SMMI,—,Madeira,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,9491824,—,530,720,3412
Roll On Roll Off,101501,Victoria,Dead,Spain,1432,1952,-5'dwt,1185,Single,—,3310,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5379755,—,1976,2650,UNKNOWN
roll on roll off with container capacity,101511,Ulusoy,Dead,St. Kitts-Nevis,11013,1973,10'-15'dwt,14885,Double Bottom,—,20145,55,Whyalla Shipbuilding & Engineering Works,Whyalla,179.00,168.63,24.99,24.99,17.37,8.86,8.51,Wartsila Finland oy,MAN Diesel AS,Bluescope Steel,—,—,227,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7305502,—,4065,5451,12V32
Roll On Roll Off,101550,Al Hoceima,Dead,Morocco,780,1977,-5'dwt,2743,Single,—,1576,—,—,France,109.00,98.86,17.52,17.52,11.10,5.21,5.89,Mak Motoren GmbH & Company KG,Mak Motoren GmbH & Company KG,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7500724,—,2461,3300,MAK DIESEL
roll on roll off with container capacity,101607,Atlantico,Dead,Panama,8115,1977,15'+ dwt,16207,Single,—,13340,—,—,Japan,196.00,—,30.00,—,12.20,8.80,3.40,—,Unknown Engine Designer,NYK Line.,—,Panama,1400,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7631468,—,12751,17100,UNKNOWN
roll on roll off with container capacity,101625,Al Gaswaa,Live,Saudi Arabia,2529,1977,5'-10'dwt,5186,Single,HZGI,8432,216,Hollming Oy,Rauma,123.00,113.70,19.56,19.20,13.20,5.55,7.65,Wartsila Finland oy,Semt Pielstick SA,Al Muanna & Al Qahtani Company,Saudi Arabia,Jeddah,265,Al Muanna & Al Qahtani Company,Saudi Arabia,Al Muanna & Al Qahtani Company,Saudi Arabia,Gamah Bin Fahad Al Gamah,Saudi Arabia,Connex International Company Limited,Sudan,—,—,—,—,Connex International Company Limited,Sudan,—,—,—,—,7413543,403015000,5966,8000,16PC2-2V-400
roll on roll off with container capacity,101632,Indian Courier,Dead,India,2961,1977,5'-10'dwt,6421,Single,—,5718,712,Shinhama Dockyard Company Limited,Tamano,119.00,104.02,18.90,18.90,10.52,7.46,3.06,Kawasaki Heavy Industries Limited Shipbuilding Division,MAN Energy Solutions SE,India Steamship,—,—,329,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7512985,—,6637,8900,V8V40/54
roll on roll off with container capacity,101675,Cape Taylor,Live,U.S.A.,6498,1977,10'-15'dwt,14545,Single,WZSB,21661,256,Sasebo Heavy Industries Company Limited,Tokyo,193.21,178.00,27.10,27.00,17.60,9.12,8.48,Kawasaki Shipbuilding Corporation,MAN Energy Solutions SE,Department of Transportation - Maritime Administration (MARAD),United States of America,Norfolk,1127,Government of The United States of America,United States of America,Department of Transportation - Maritime Administration (MARAD),United States of America,Department of Transportation - Maritime Administration (MARAD),United States of America,Patriot Contract Services LLC,United States of America,—,—,—,—,Patriot Contract Services LLC,United States of America,—,—,—,—,7603497,366778000,7076,9489,9L52/55A
roll on roll off with container capacity,10168723,Cape Starr,Live,U.S.A.,16719,2012,15'+ dwt,46635,Single,WDU2000,50110,4466,Hanwha Ocean Company Limited,Okpo,240.00,220.00,37.50,37.50,26.65,10.50,16.15,HD Hyundai Heavy Industries Company Limited,B&W Diesel A/S,Department of Transportation - Maritime Administration (MARAD),United States of America,Norfolk,2238,Government of The United States of America,United States of America,Department of Transportation - Maritime Administration (MARAD),United States of America,Marad - Div of Reserve Fleet,United States of America,Department of Transportation - Maritime Administration (MARAD),United States of America,—,—,—,—,—,—,Unknown,Unknown,Wartsila Corporation,—,9578969,303829046,22890,30696,7L70ME-C
roll on roll off with container capacity,10168757,Cape Sable,Live,U.S.A.,16719,2013,15'+ dwt,46704,Single,WDO2004,50110,4468,Hanwha Ocean Company Limited,Okpo,239.00,220.00,37.50,37.50,26.65,10.50,16.15,HD Hyundai Heavy Industries Company Limited,B&W Diesel A/S,Department of Transportation - Maritime Administration (MARAD),United States of America,Norfolk,2238,Government of The United States of America,United States of America,Department of Transportation - Maritime Administration (MARAD),United States of America,Marad - Div of Reserve Fleet,United States of America,Department of Transportation - Maritime Administration (MARAD),United States of America,—,—,—,—,—,—,Unknown,Unknown,Wartsila Corporation,—,9578983,368699000,22890,30696,7L70ME-C
roll on roll off with container capacity,10168787,Liberty Power,Live,U.S.A.,16719,2011,15'+ dwt,46635,Single,WLPA,50110,4465,Hanwha Ocean Company Limited,Okpo,240.00,220.00,37.50,37.50,26.65,10.50,16.15,HD Hyundai Heavy Industries Company Limited,B&W Diesel A/S,Liberty Maritime Corporation,United States of America,New York,2238,Liberty Maritime Corporation,United States of America,Liberty Maritime Corporation,United States of America,Liberty Power Corporation,United States of America,Liberty Maritime Corporation,United States of America,Liberty Global Logistics LLC,United States of America,—,—,Liberty Maritime Corporation,United States of America,Wet,Open Loop,Wartsila Corporation,—,9578957,366599000,22890,30696,7L70ME-C
roll on roll off with container capacity,10168816,Cape San Juan,Live,U.S.A.,16719,2012,15'+ dwt,46574,Single,WDO2005,50110,4467,Hanwha Ocean Company Limited,Okpo,240.00,220.00,37.50,37.50,26.65,10.50,16.15,HD Hyundai Heavy Industries Company Limited,B&W Diesel A/S,Department of Transportation - Maritime Administration (MARAD),United States of America,Norfolk,2238,Government of The United States of America,United States of America,Department of Transportation - Maritime Administration (MARAD),United States of America,Department of Transportation - Maritime Administration (MARAD),United States of America,Department of Transportation - Maritime Administration (MARAD),United States of America,—,—,—,—,—,—,Wet,Open Loop,Wartsila Corporation,—,9578971,303829025,22890,30696,7L70ME-C
roll on roll off with container capacity,102141,Barbat,Live,Cameroon,2288,1977,-5'dwt,4322,Double Bottom,TJM0093,7628,388,Rickmers Rhederei GmbH Rickmers Werft,Bremerhaven,141.31,129.50,17.40,17.40,12.20,5.23,6.97,Mak Motoren GmbH & Company KG,Mak Motoren GmbH & Company KG,Unknown Owners,—,—,341,Unknown Owners,—,Unknown Owners,—,Blackmore Shipping Company Limited,Marshall Islands,Samsun Shipping Limited,Turkiye,—,—,—,—,Samsun Shipping Limited,Turkiye,—,—,—,—,7613404,613481700,2237,3000,8M453
Roll On Roll Off,102251,Dolphin 1,Live,Greece,109,1958,Unknown size,—,Single,SV4184,493,391,James Lamont & Company Limited,Port Glasgow,53.00,—,15.00,14.04,4.10,2.70,1.40,—,Unknown Engine Designer,Unknown Owners,—,—,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,—,—,—,—,—,—,—,—,—,—,5301318,—,477,640,TAMD121C
Roll On Roll Off,102267,Golfo Degli Angeli,Dead,Italy,2803,1949,Unknown size,—,Single,—,5038,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5118228,—,2983,4000,UNKNOWN
roll on roll off with container capacity,102434,Long Xi Kou,Dead,China,8650,1977,15'+ dwt,18279,Single,—,11913,—,—,"",162.00,156.22,22.84,22.84,12.53,9.15,3.38,MAN Energy Solutions SE,MAN Energy Solutions SE,—,—,—,208,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7603162,—,7457,10000,MAN DIESEL
roll on roll off with container capacity,102447,Global Progress,Dead,Bahamas,6129,1977,15'+ dwt,19669,Single,—,19605,M26,Chantiers de l'Atlantique,St. Nazaire,163.78,155.00,26.50,26.50,16.30,10.70,2.00,Chantiers de l'Atlantique,Semt Pielstick SA,Indian Breakers,—,Nassau,702,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7504586,—,8725,11700,18PC2-5V-400R
roll on roll off with container capacity,102450,Global Prosperity,Dead,Bahamas,6129,1977,15'+ dwt,19669,Single,—,19605,N26,Chantiers de l'Atlantique,St. Nazaire,163.78,155.00,26.50,26.50,16.30,10.70,2.00,Chantiers de l'Atlantique,Semt Pielstick SA,Indian Breakers,—,Bahamas,702,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7504603,—,8725,11700,18PC2-5V-400R
roll on roll off with container capacity,102452,Vergina,Dead,Panama,9464,1977,15'+ dwt,19669,Single,—,26409,321,Chantiers Navals de La Ciotat Shipbuilding,La Ciotat,204.00,195.11,26.50,26.50,16.30,10.50,5.80,Pielstick (Blohm & Voss) Semt,Semt Pielstick SA,Good F.S.C.,—,Panama,1063,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7504615,—,8725,11700,18PC2-5V-400
Roll On Roll Off,102460,Amira,Dead,France,1692,1977,5'-10'dwt,5534,Single,—,3710,—,—,Norway,132.00,117.50,19.02,19.02,13.75,6.40,7.35,Sulzer Mitsubishi,Sulzer Turbomachinery Services,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7522019,—,7830,10500,SULZER DIESEL
Roll On Roll Off,102526,Rafedain,Dead,Kuwait,195,1960,Unknown size,—,Single,—,826,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7646085,—,373,500,UNKNOWN
Roll On Roll Off,102527,Raffoudah,Dead,Kuwait,220,1956,Unknown size,—,Single,—,798,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7646097,—,231,310,UNKNOWN
Roll On Roll Off,102543,Sicilia,Dead,Italy,2687,1952,-5'dwt,1188,Single,—,4888,—,—,Italy,116.00,—,16.00,—,7.40,5.50,1.90,—,Unknown Engine Designer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5326849,—,1342,1800,UNKNOWN
Roll On Roll Off,102617,Bright Angel,Dead,South Korea,2877,1977,-5'dwt,4514,Single,—,8209,196,NHI Company Limited,Toyama,112.00,105.01,17.51,17.51,10.72,6.67,4.05,Akasaka Diesels Limited,Mitsubishi Heavy Industries Limited,Chinese Breakers,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7632917,—,3824,5200,6UET52/90C
roll on roll off with container capacity,102647,Kevat,Dead,St. Vincent & Grenadines,7165,1977,15'+ dwt,22195,Single,—,26105,—,—,Japan,212.00,—,27.60,—,16.80,9.00,7.80,—,Unknown Engine Designer,Wijsmuller R.G.,—,Kingstown,1217,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7619410,—,7080,9495,UNKNOWN
Roll On Roll Off,102721,Road Runner,Dead,Panama,2667,1974,-5'dwt,4838,Single,—,8555,—,—,Japan,130.00,120.02,19.99,19.99,8.01,6.02,1.99,Pielstick (Blohm & Voss) Semt,Semt Pielstick SA,Eastern O.,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7380954,—,8054,10800,PIELSTICK DIESEL
roll on roll off with container capacity,102735,Ming Zhou 12,Dead,St. Vincent & Grenadines,2633,1977,5'-10'dwt,7203,Single,—,5012,993,Shin Kurushima Dockyard Company Limited,Tokyo,118.50,108.20,17.61,17.61,9.00,6.85,2.15,Kobe Hatsudoki,Mitsubishi Heavy Industries Limited,Ningbo O.,—,Kingstown,358,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7701213,—,3309,4500,6UET45/80D
roll on roll off with container capacity,102752,Nader,Live,Tanzania,1028,1977,-5'dwt,1647,Single,5IM936,3423,1223,ACH - Construction Navale,Le Havre,91.00,82.40,14.00,14.00,9.40,4.45,0.05,Societe Moteurs Duvant Crepelle,Atlas Copco Crepelle SA,Unknown Owners,—,—,66,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,—,—,—,—,—,—,—,—,—,—,7529861,677083600,1790,2401,12PSN2
Roll On Roll Off,103013,Kaptan Sait Ozege,Dead,Turkiye,763,1977,-5'dwt,2754,Single,—,2214,—,—,West Germany,110.00,—,17.60,—,10.30,5.00,5.30,—,Unknown Engine Designer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7631286,—,2625,3520,UNKNOWN
roll on roll off with container capacity,103105,Hakata,Dead,Panama,4756,1977,5'-10'dwt,7613,Single,—,7586,705,Kegoya Dock K.K.,Kure,118.00,—,19.00,19.00,7.60,7.10,0.50,—,Unknown Engine Designer,Glory S.M.,—,Panama,250,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7513599,—,4996,6700,UNKNOWN
roll on roll off with container capacity,103164,Fast Alexandria,Dead,Egypt,1860,1977,-5'dwt,3501,Single,—,5850,—,—,Bilbao,98.00,90.00,18.00,18.00,11.30,5.41,5.89,—,Stork-Werkspoor Diesel B.V.,Demline.,—,—,232,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7416284,—,3803,5100,8TM410
roll on roll off with container capacity,103251,Princess Carol,Live,Jamaica,1098,1969,-5'dwt,1184,Single,6YRF6,3659,359,Rickmers Rhederei GmbH Rickmers Werft,Bremerhaven,96.81,88.02,15.83,15.83,10.32,4.15,6.17,—,Unknown Engine Designer,Cash Plus Shipping Limited,Jamaica,—,50,Cash Plus Shipping Limited,Jamaica,Cash Plus Shipping Limited,Jamaica,Cash Plus Shipping Limited,Jamaica,Cash Plus Shipping Limited,Jamaica,—,—,—,—,—,—,—,—,—,—,6925707,—,1491,2000,16V23HU
