Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng
Viking Odessa,vehicle carrier,Shimonoseki,Kyokuyo Shipyard Corporation (KSC),472459,Live,Marshall Islands,6064,-30'gt,5432,Single,V7A5084,20216,485,140.00,131.00,22.43,22.40,6.41,16.54,Unknown Engine Designer,Majuro,-,Mediterranean Shipping Company S.A. (MSC),Switzerland,Gram Car Carriers AS,Norway,Gram Car Carriers Shipowning AS,Norway,-,-,-,-,9398876,538009721,22.95,2009,-,-,-,-,-,-,-,8L46C,Assuranceforeningen Gard,DNV,-,-,-,-,2019-08-19T00:00:00,-,2029-08-31T00:00:00,2029-08-31T00:00:00,Reederei F. Laeisz GmbH,Germany,Reederei F. Laeisz GmbH,Germany,MXATM,Altamira,A,25 May 2026 05:53:08 GMT,30 May 2026 23:00:00 GMT,Gram Car Carriers AS,Norway,"30° 16' 14"" N","74° 35' 2"" W"
Apollon Leader,vehicle carrier,Kobe,Mitsubishi Heavy Industries Limited Shipbuilding,476553,Live,Panama,18573,50'+ gt,18758,Single,3ETC2,60213,1278,199.99,192.00,-,32.26,9.73,11.52,Mitsubishi Heavy Industries Limited,Panama,-,Mitsubishi Group of Companies,Japan,Mitsubishi Ore Transport Company Limited (Mitsubishi Koseki Yuso KK),Japan,Compania Flor de Vapores S.A.,Panama,NYK RORO Shipping,Japan,-,-,9402706,370508000,21.25,2008,-,-,-,-,Mitsubishi Heavy Industries Limited Shipbuilding,14315,16542,7UEC60LSII,Japan Shipowners Mutual Protection & Indemnity Association,Nippon Kaiji Kyokai,-,-,2018-08-26T00:00:00,-,2018-08-26T00:00:00,-,2028-09-18T00:00:00,2028-09-18T00:00:00,Mitsubishi Ore Transport Company Limited (Mitsubishi Koseki Yuso KK),Japan,Mitsubishi Ore Transport Company Limited (Mitsubishi Koseki Yuso KK),Japan,ES ALG>SG SIN PWBGA,Singapore East Anchorage,A,25 May 2026 05:42:57 GMT,30 May 2026 08:00:00 GMT,Mitsubishi Ore Transport Company Limited (Mitsubishi Koseki Yuso KK),Japan,"7° 19' 44"" S","80° 19' 27"" E"
Auriga Leader,vehicle carrier,Kobe,Mitsubishi Heavy Industries Limited Shipbuilding,476554,Live,Japan,18573,50'+ gt,18686,Single,7KJB,60163,1279,199.99,192.00,-,32.26,9.73,11.52,Mitsubishi Heavy Industries Limited,Tokyo,-,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,Izumo Ship Holding LLC,Japan,-,-,-,-,9402718,431647000,21.25,2008,-,-,-,-,Mitsubishi Heavy Industries Limited Shipbuilding,14315,16542,7UEC60LSII,Assuranceforeningen Skuld,Nippon Kaiji Kyokai,-,-,2018-11-14T00:00:00,-,2018-11-14T00:00:00,-,2026-12-06T00:00:00,2026-12-06T00:00:00,NYK Shipmanagement Private Limited,Republic of Singapore,NYK Shipmanagement Private Limited,Republic of Singapore,JPHIJ,Hiroshima,A,25 May 2026 05:09:59 GMT,01 Jun 2026 15:01:00 GMT,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,"34° 2' 38"" N","174° 47' 60"" W"
Kariyushi Leader,vehicle carrier,Balamban,Tsuneishi Heavy Industries (Cebu) Incorporated,482475,Live,Japan,15566,50'+ gt,17212,Single,7KCE,51888,SC-111,179.90,170.00,-,32.20,9.62,12.00,B&W Diesel A/S,Tokyo,-,Meiji Shipping Group,Japan,Meiji Shipping Company Limited,Japan,Meiji Shipping Company Limited,Japan,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,-,-,9403217,431987000,21.62,2008,-,-,-,-,Mitsui Engineering & Shipbuilding Company Limited,14120,21508,7S60MC-C,Assuranceforeningen Gard,Nippon Kaiji Kyokai,-,-,2018-06-07T00:00:00,-,2018-06-07T00:00:00,-,2028-06-06T00:00:00,2028-06-06T00:00:00,MMS Company Limited,Japan,MMS Company Limited,Japan,THLCB,Laem Chabang,A,25 May 2026 05:54:40 GMT,26 May 2026 04:00:00 GMT,Meiji Shipping Company Limited,Japan,"8° 42' 47"" N","103° 4' 22"" E"
Hyperion Leader,vehicle carrier,Onishi,Shin Kurushima Dockyard Company Limited,483938,Live,Japan,12568,30'-50'gt,14381,Single,7KFK,41894,5523,190.03,177.00,-,28.20,9.33,11.43,Mitsubishi Heavy Industries Limited,Imabari,-,Kitaura Kaiun K.K.,Japan,Kitaura Kaiun K.K.,Japan,Kitaura Kaiun K.K.,Japan,-,-,-,-,9403279,431578000,20.76,2010,-,-,-,-,Kobe Hatsudoki,11335,13752,7UEC52LSE,NorthStandard,Nippon Kaiji Kyokai,-,-,2020-03-23T00:00:00,-,2020-03-23T00:00:00,-,2028-01-30T00:00:00,2028-01-30T00:00:00,Kitaura Kaiun K.K.,Japan,Kitaura Kaiun K.K.,Japan,PH BTG,Batangas/Luzon,A,25 May 2026 05:37:56 GMT,20 May 2026 17:00:00 GMT,Kitaura Kaiun K.K.,Japan,"13° 21' 5"" N","119° 18' 39"" E"
Bergamot Ace,vehicle carrier,Onishi,Shin Kurushima Dockyard Company Limited,483948,Live,Liberia,12721,30'-50'gt,14996,Single,5LKR5,42401,5525,186.03,181.03,-,28.20,8.52,10.33,B&W Diesel A/S,Monrovia,-,Nichitoku Kisen Company Limited,Japan,Nichitoku Kisen Company Limited,Japan,Bergamot Ace S.A.,Panama,Mitsui O.S.K. Lines Limited (MOL),Japan,-,-,9403281,636022841,18.85,2010,-,-,-,-,Mitsui Engineering & Shipbuilding Company Limited (Tamano),11440,15554,8S50MC,Japan Shipowners Mutual Protection & Indemnity Association,Nippon Kaiji Kyokai,-,-,2020-06-05T00:00:00,-,2020-06-05T00:00:00,-,2030-06-29T00:00:00,2030-06-29T00:00:00,Nichitoku Kisen Company Limited,Japan,Nichitoku Kisen Company Limited,Japan,ZADUR,-,A,25 May 2026 05:56:57 GMT,24 May 2026 16:30:00 GMT,Nichitoku Kisen Company Limited,Japan,"29° 52' 14"" S","31° 2' 6"" E"
Yard No.2081 Yangfan,vehicle carrier,Zhoushan,Yangfan Group Company Limited,4868106,Live,Unknown,-,50'+ gt,11760,Single,-,50000,2081,182.20,170.20,-,31.50,8.75,-,Unknown Engine Designer,-,-,-,-,-,-,-,-,-,-,-,-,9499606,-,-,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Taiwan Maritime,-,-,-
Neptune Leader,vehicle carrier,Setoda,Naikai Zosen Shipbuilding Corporation,544343,Live,Panama,13324,30'-50'gt,12853,Single,3FUV4,44412,721,183.00,170.00,-,30.20,8.72,12.22,B&W Diesel A/S,Panama,-,Libera Corporation,Japan,Libera Corporation,Japan,Centennial Shipping SA,Panama,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,-,-,9402744,357079000,20.94,2008,-,-,-,-,Hitachi Zosen Corporation,11620,15799,6S60MC-C,"Britannia Steam Ship Insurance Association Ltd., The",Nippon Kaiji Kyokai,-,-,2018-08-26T00:00:00,-,2018-08-26T00:00:00,-,2028-07-28T00:00:00,2028-07-28T00:00:00,Sandigan Ship Services Incorporated,Philippines,Sandigan Ship Services Incorporated,Philippines,US VAN > US RCH,Richmond,A,25 May 2026 05:59:21 GMT,27 May 2026 10:00:00 GMT,Libera Corporation,Japan,"45° 47' 21"" N","124° 41' 33"" W"
Jupiter Leader,vehicle carrier,Setoda,Naikai Zosen Shipbuilding Corporation,544344,Live,Japan,13324,30'-50'gt,12889,Single,7KUM,44412,722,183.00,170.00,-,30.20,8.72,12.22,B&W Diesel A/S,-,-,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,Snow Camellia Maritime Company Limited,Japan,-,-,-,-,9402756,431474000,20.94,2008,-,-,-,-,Hitachi Zosen Corporation,11620,15799,6S60MC-C,"Britannia Steam Ship Insurance Association Ltd., The",Nippon Kaiji Kyokai,-,-,2021-01-25T00:00:00,-,2018-12-02T00:00:00,-,2031-02-17T00:00:00,2031-02-17T00:00:00,-,-,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,JP THS,Toyohashi,A,25 May 2026 05:50:42 GMT,04 Jun 2026 19:00:00 GMT,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,"35° 1' 14"" N","173° 2' 40"" W"
Sanderling Ace,vehicle carrier,Usuki,Minami-Nippon Shipbuilding Company Limited,566142,Live,Marshall Islands,18167,50'+ gt,18865,Single,V7UZ3,58685,705,199.95,190.00,32.26,32.20,9.82,11.37,B&W Diesel A/S,Majuro,-,Kansai Steamship Company Limited,Japan,Kansai Steamship Company Limited,Japan,New Shipcarrier S.A.,Panama,-,-,-,-,9409481,538007573,21.19,2007,-,-,-,-,-,15130,18906,7S60MC-C,Japan Shipowners Mutual Protection & Indemnity Association,Nippon Kaiji Kyokai,-,-,2020-04-16T00:00:00,-,2017-05-25T00:00:00,-,2027-06-21T00:00:00,2027-06-21T00:00:00,Kansai Steamship Company Limited,Japan,Kansai Steamship Company Limited,Japan,US DVV,Davisville,A,25 May 2026 05:37:29 GMT,26 May 2026 08:30:00 GMT,Kansai Steamship Company Limited,Japan,"40° 54' 33"" N","65° 34' 18"" W"
